Scenario,Thought,Distortion Type,label
"Bạn là người rất hướng nội, bạn vừa đến một môi trường mới, những người xung quanh đều khá xa lạ.",Mọi người trong môi trường này có phải đều không thân thiện không?,Overgeneralization,1
"Gần đây bạn cảm thấy đôi khi đứng dậy là chóng mặt, cảm giác nặng đầu nhẹ chân.","Đầu óc choáng váng quá, có phải bị bệnh rồi không, phải đi bệnh viện khám thôi.",Non-distorted,0
"Đi trên đường bạn cảm thấy đói, nhưng xung quanh không có một nhà hàng nào.","Mệt không có chỗ nghỉ, đói không có chỗ ăn, sao những điều bất hạnh luôn xảy ra với mình vậy?",Overgeneralization,1
"Gần đây công việc khá bận, nhưng bạn lại bị cảm cúm.","Ôi sao lại bị cảm cúm vào lúc này chứ, xui xẻo quá, công việc còn chưa làm xong mà cơ thể đã không khỏe rồi, muốn khóc quá.",Non-distorted,0
"Mẹ tôi và tôi thảo luận về kế hoạch tương lai, mẹ đưa ra nhiều kế hoạch và bày tỏ lo lắng về hiện tại, nhưng có những kế hoạch tôi không đồng ý.","Mẹ lại can thiệp vào cuộc đời tôi, chỉ muốn tôi sống theo kế hoạch của bà, sống như vậy thà chết đi còn hơn.",Fortune-telling,1
"Gần đây vừa được thăng chức, nhưng sợ năng lực của mình không thể đảm nhiệm.","Cố tình giao cho tôi chức vụ mà tôi không thể đảm nhiệm, có phải là đang hãm hại tôi không?",Mind Reading,1
"Là con gái, bạn bị các bạn cùng lớp chế giễu vì đến kỳ kinh nguyệt.","Mình chỉ cần giữ im lặng thôi, như vậy họ sẽ không chế giễu mình mãi nữa, chắc chắn có ngày họ cũng sẽ cảm thấy chán thôi, chỉ cần mình nhịn thêm chút nữa.",Emotional Reasoning,1
"Từ trước đến nay bạn ít liên lạc với gia đình, chỉ gửi tin nhắn.","Chúng tôi thường rất bận, ít liên lạc là chuyện bình thường.",Non-distorted,0
"Thật không may, gần đây bạn cảm thấy rất khó chịu, nhưng vẫn chưa tìm ra bệnh cụ thể.","Dù sao cũng đã bị bệnh rồi, vậy thì cứ hành hạ cơ thể mình tùy tiện đi.",All-or-Nothing Thinking,1
"Khi bạn đang nói chuyện với ai đó, điện thoại của người đó đổ chuông, nhưng người đó không nhấc máy.","Sự tồn tại của mình là thừa thãi, mình đã làm lỡ việc khác của anh ấy rồi.",Personalization,1
"Bạn tham gia câu lạc bộ nhưng cũng không kết bạn được, không có ai quen biết.","Mình không thể kết bạn được, cuộc đời mình thật sự quá thất bại rồi.",Overgeneralization,1
"Tháng này, có nhiều đồng nghiệp trẻ mới đến, họ làm việc hiệu quả và rất tốt, bạn cảm thấy hơi lo lắng.","Những người trẻ này chỉ biết làm việc qua loa, làm những trò hoa mỹ để lừa dối cấp trên, sớm muộn gì cũng sẽ gặp quả báo.",Overgeneralization,1
"Bạn là con út trong gia đình, bạn cảm thấy mình bị bố mẹ bỏ bê.","Mình nghĩ nhiều rồi, sao họ có thể bỏ bê mình được chứ.",Non-distorted,0
"Bạn và người bạn thân nhất của mình xảy ra tranh cãi, cả hai không ai chịu nhường ai, tuyên bố cắt đứt quan hệ.","Mình sẽ không còn bạn bè nữa, chỉ còn lại một mình mình thôi.",Overgeneralization,1
"Bạn làm việc cùng đồng nghiệp, bạn cảm thấy gánh nặng của mình nặng hơn, còn gánh nặng của họ nhẹ hơn.","Cả ngày bị mọi người vây quanh, nhưng vẫn cảm thấy cô đơn, những gì mình từng có chỉ là bài học thôi.",Emotional Reasoning,1
"Bạn cảm thấy khó tập trung, hiệu quả học tập thấp, cả ngày đầu óc trống rỗng.","Gia đình mình đều mong mình học hành giỏi giang, sau này thành đạt, nhưng mình lại không học vào, phụ lòng họ mình là một tội đồ.",Personalization,1
"Bạn đang giảm cân, nhưng bạn đã lén ăn một miếng bánh quy, bạn rất hối hận.","Mình chắc chắn đã làm bố mẹ thất vọng tột cùng, họ sẽ không bao giờ coi mình là bảo bối của họ nữa.",Mind Reading,1
"Bạn chuẩn bị tranh cử chủ tịch câu lạc bộ, bạn đã rất nỗ lực chuẩn bị mọi thứ, mọi người xung quanh đều nghĩ bạn có thể trúng cử, nhưng cuối cùng bạn lại không may mắn thất cử.",Cuộc đời mình cũng sẽ thất bại như cuộc tranh cử này thôi.,Fortune-telling,1
"Người khác nói bạn trông không được khỏe, như thể người khác nợ tiền bạn.","Sao mình lại không thể kiểm soát được vẻ mặt của mình, còn ảnh hưởng đến người khác nữa chứ, mình thật là vô dụng.",Personalization,1
"Điểm của tôi không tiến bộ, bố tôi vừa nhìn thấy tôi là mặt lại sa sầm không nói gì.","Ông ấy chỉ muốn tôi đạt điểm cao cho ông ấy, tôi căn bản không phải con ruột của ông ấy.",Mind Reading,1
"Bạn và người bạn thân nhất của mình xảy ra tranh cãi, cả hai không ai chịu nhường ai, tuyên bố cắt đứt quan hệ.","Ngay cả với người bạn thân nhất mình cũng có thể cãi nhau, bao giờ mình mới có thể thay đổi tính cách này, mình chỉ là người nóng tính quá, mình là một người nóng tính.",Labeling and Mislabeling,1
"Bạn đối mặt với các hoạt động đa dạng của trường học, đầy hứng thú, nhưng lại lo sợ thất bại.","Mình là một người tự ti, mình làm gì cũng chắc chắn không làm tốt được.",Labeling and Mislabeling,1
"Bạn cùng phòng nói chuyện với bạn, bạn không đồng ý với quan điểm của cô ấy.","Dù mình có tốn bao nhiêu lời lẽ, ngày hôm đó cũng không thể thuyết phục được anh ấy, giao tiếp và truyền đạt quan điểm của mình cho người khác là một việc tốn sức và không hiệu quả, sau này mình sẽ không làm những việc như vậy nữa.",Emotional Reasoning,1
"Bạn đi trên đường, một chiếc xe tải đi qua làm văng nước vào người bạn.","Rõ ràng là nhìn thấy mình ở đây, chiếc xe tải này còn làm văng nước vào mình, anh ta chính là cố ý.",Mind Reading,1
"Từ trường cấp hai hạng hai vào trường cấp ba trọng điểm, bạn thấy điểm của mình giảm đi nhiều.","Mình sinh ra đã có cái đầu ngu ngốc, những thứ này mình đều không học được, mình có học thế nào cũng không học tốt được.",Emotional Reasoning,1
"Thấy bạn cần ô, khi nhắn tin riêng thì được báo là đã mượn được rồi.","Anh ấy chắc chắn nghĩ mình dễ bắt nạt, cứ tùy tiện đăng bài trên mạng xã hội rồi từ chối mình, chắc chắn là như vậy.",Mind Reading,1
"Điểm của tôi không tiến bộ, bố tôi vừa nhìn thấy tôi là mặt lại sa sầm không nói gì.","Bố tôi sẽ nói xấu với mẹ, mẹ cũng sẽ không yêu tôi nữa.",Mind Reading,1
"Các bạn cùng lớp đều ra ngoài, bạn một mình ở trong lớp học, cảm thấy hơi cô đơn.","Mình ở một mình trong ký túc xá cô đơn quá, họ ra ngoài không gọi mình, mình chết một mình trong ký túc xá cũng sẽ không ai quan tâm nữa.",Overgeneralization,1
"Gần đây bạn bị gãy xương, mỗi lần bạn bè đều phải đi cùng bạn xuống lầu, đưa bạn đi học.","Ngay cả việc lên xuống cầu thang cũng không đi tốt còn làm gãy chân, mình đúng là một người thất bại.",Labeling and Mislabeling,1
"Bạn nhận ra rằng bạn bè của mình dường như đều đã tìm được bạn đời, nhưng bạn vẫn một mình.","Họ có người yêu rồi sẽ không còn đặt trọng tâm tình cảm vào mình nữa, chúng ta sẽ ngày càng xa cách.",Fortune-telling,1
"Bố mẹ luôn so sánh bạn với những đứa trẻ khác, bạn cảm thấy rất không vui.","Nhiều bố mẹ trong gia đình đều thích so sánh, quen rồi sẽ ổn thôi.",Non-distorted,0
"Con trai 25 tuổi của bạn, vẫn mất đi.","Tôi chỉ có thể nhìn con trai nhảy xuống cứu người, nhưng nó không lên được còn tôi thì chỉ có thể ngồi trên xe lăn nhìn, tôi đúng là một người cha vô dụng.",Labeling and Mislabeling,1
"Bạn cảm thấy đôi khi giáo viên còn chưa đọc xong, bạn cùng lớp của bạn đã biết câu trả lời đúng rồi.","Một việc nhỏ như thế này cũng không thể tranh giành vị trí đầu tiên, mình còn có thể làm tốt được việc gì nữa chứ, vĩnh viễn không thể đuổi kịp người khác.",Overgeneralization,1
Người yêu bạn không may qua đời cách đây một thời gian.,"Người yêu mình nhất trên thế giới đã chết rồi, mình không còn gì cả, mình sống cũng không có ý nghĩa gì, mình chết ngay bây giờ đi là được rồi.",All-or-Nothing Thinking,1
"Điểm của tôi không tiến bộ, bố tôi vừa nhìn thấy tôi là mặt lại sa sầm không nói gì.","Đầu óc tôi thật sự ngu ngốc như vậy, dù tôi làm gì cũng không có bất kỳ tiến bộ nào, giống như một người vô dụng.",Labeling and Mislabeling,1
"Bạn cứ nghĩ mình có thể được bảo lưu đại học, nhưng cuối cùng danh sách không có bạn.","Công việc nào cũng khó hoàn thành, tương lai đối với tôi tràn đầy tuyệt vọng.",All-or-Nothing Thinking,1
"Bạn quên mang bài tập về nhà của mình, giáo viên phạt bạn đứng nghe giảng ở phía sau.","Mình là người duy nhất bị phạt đứng, các bạn khác chắc chắn đang chế giễu mình trong lòng.",Mind Reading,1
"Mẹ tôi và tôi thảo luận về kế hoạch tương lai, mẹ đưa ra nhiều kế hoạch và bày tỏ lo lắng về hiện tại, nhưng có những kế hoạch tôi không đồng ý.","Không thể sống cuộc đời của mình theo ý muốn của mình, sự tồn tại của mình sẽ trở nên vô nghĩa.",All-or-Nothing Thinking,1
"Bạn thấy người khác cuối tuần đi chơi cùng nhau, nhưng không ai gọi bạn đi chơi.","Mình không có bạn bè, cuộc đời như vậy hoàn toàn không có ý nghĩa gì, chỉ có bóng tối.",All-or-Nothing Thinking,1
"Bố mẹ hối thúc bạn kết hôn và sinh con, bạn cảm thấy rất khó chịu.","Không thể vội vàng, nếu chưa đến lúc kết hôn thì không thể làm phiền đối phương, lúc rảnh rỗi, mình nên nói suy nghĩ của mình cho bố mẹ biết.",Non-distorted,0
"Bố mẹ luôn so sánh bạn với những đứa trẻ khác, bạn cảm thấy rất không vui.","Bố mẹ trên đời này đều giống nhau, họ không bao giờ quan tâm đến cảm xúc của con cái.",Overgeneralization,1
"Bạn và người bạn thân nhất của mình xảy ra tranh cãi, cả hai không ai chịu nhường ai, tuyên bố cắt đứt quan hệ.","Anh ấy đã muốn cắt đứt quan hệ với mình từ lâu rồi, đây rõ ràng chỉ là một chuyện nhỏ, hoàn toàn không cần thiết.",Mind Reading,1
"Trong đại dịch COVID-19, bạn là nhân viên y tế và cần làm thêm giờ không lương.",Tôi phải làm gì để kết thúc cuộc sống như thế này?,Emotional Reasoning,1
"Bạn và bố mẹ cãi nhau một trận lớn, sau đó bố mẹ rất buồn, bạn cảm thấy rất hối lỗi.","Sinh ra tôi, nhưng tôi luôn cãi nhau với họ, làm họ tức giận, họ chắc chắn rất hối hận vì đã sinh ra một đứa con như tôi.",Mind Reading,1
"Bạn luôn sống trong một gia đình có điều kiện kinh tế khá khó khăn, thu nhập của bố mẹ không cao.","Mình là một kẻ nghèo hèn, những người xung quanh sẽ không coi trọng mình, mình sống mỗi ngày trong đau khổ vì không đủ ăn đủ mặc, mình muốn chết quá.",Labeling and Mislabeling,1
"Gần đây bạn muốn xem ảnh tốt nghiệp của mình, nhưng bạn tìm mãi không thấy.","Chắc chắn là bạn cùng phòng của mình đã lục đồ của mình rồi lấy đi, cô ấy chắc chắn vẫn còn tức giận vì chuyện lần trước, lần này cô ấy cố tình trả thù mình.",Mind Reading,1
"Gần đây vừa được thăng chức, nhưng sợ năng lực của mình không thể đảm nhiệm.","Mình vừa được thăng chức, đây là sự tin tưởng của lãnh đạo vào năng lực của mình, mình nên cố gắng hơn nữa.",Non-distorted,0
