Num,场景,思维,标签
1,很内向的人，你刚到了一个新环境，周围的人都比较陌生。,这个环境里的人是不是都很不友善啊,过度泛化
2,最近你感觉有时候站起来就头晕，感觉头重脚轻那种,头好晕，是不是生病了，得去医院看看了,非扭曲
3,走在路上你感觉饿了，但周围一家饭店都没有,累了没地方休息，饿了没地方吃饭，怎么不幸的事情总是发生在我的身上呢,过度泛化
4,工作最近比较忙，你却得了感冒。,哎怎在这个时候感冒了，运气好差，工作都要做不完了身体还不舒服，好想哭。,非扭曲
5,妈妈和我讨论未来计划，妈妈和我提了很多规划，表示了她对现状的担忧，但有些规划我不太认可。,妈妈又对我的人生指手画脚，就想让我过她规划的人生，这样过还不如让我去死。,算命
6,最近刚升了职，但害怕自己的能力不能胜任,故意给我不能胜任的职务，是不是在陷害我,读心术
7,作为女生，你的生理期遭到了同学们的嘲笑。,我只要保持沉默就好了，这样他们就不会一个劲儿的嘲笑我了，我们肯定有一天自己也会觉得厌烦的，只要我再忍一忍,情绪化推理
8,你一直以来的状态和家人联系比较少，只发发短信,我们平时都很忙碌，联系少是正常的。,非扭曲
9,很不幸，你最近很难受，还没查出来具体疾病。,反正也有病了，那我就肆意折腾自己的身体吧,非黑即白
10,你正和某人谈话时，对方的手机响了，但他并没有接起来,我的存在是多余的，我耽误他其他的事了,个人化归责
11,你加入的社团也没交到朋友，熟人都没有,我连一个朋友都交不到，我的人生真的太失败了。,过度泛化
12,这个月，来了很多年轻的同事，他们工作效率很快，工作很好，你感到有些焦躁了。,这些年轻人就会偷工减料，玩些花的糊弄上司，迟早会遭报应,过度泛化
13,你是家里最小的孩子，你感到自己被父母忽视了。,我想多了吧。他们怎么会忽视我,非扭曲
14,你和最要好的朋友发生了争执，你们互不相让，表示要绝交。,我再也没有朋友了，就剩我一个人了,过度泛化
15,你和同事一起工作，你感觉自己负担重了，她们负担轻了。,整天都被人围绕着，却还是感到孤独，我曾经有过的那些只是教训而已。,情绪化推理
16,你觉得很难集中注意力，学习效率也很低，整天脑袋空空的,我家人都盼望我好好学习将来出人头地，我却学不进去，辜负他们我是个罪人。,个人化归责
17,你正在减肥中，但是你自己偷偷吃掉了一块饼干，你十分懊悔。,我一定让父母失望透顶了，他们再也不会把我当成他们的宝贝。,读心术
18,你准备竞选社团主席，你很努力地准备这一切周围人都认为你可以当选，但是最后你不幸落选了。,我的人生也会像竞选一样失败,算命
19,别人说你脸色不好仿佛别人欠了你的钱,我怎么连我自己的脸色都控制不好，还影响到别人，我可真是太没用了。,个人化归责
