Original Text,Emotional Reasoning,Overgeneralization,Should Statements,Personalization,Mental Filter,Disqualifying the Positive,Jumping to Conclusions,Labeling and Mislabeling,Magnification and Minimization,All or Nothing Thinking
"Cô ấy luôn có những hành động kỳ lạ, ví dụ như, cô ấy giận dỗi vì một vấn đề và sau đó trở nên im lặng, không nói chuyện với ai trong 1/2 ngày, rồi sau đó lại bắt đầu cười và sau đó khóc, tôi không biết phải làm gì vì cô ấy không muốn mở lòng và dần dần cô ấy cũng làm tôi tức giận vì cô ấy cứ cười, chế nhạo, tôi không biết có lẽ cô ấy giận tôi hay sao",0,0,0,0,0,0,0,0,0,0
"Nếu bố mẹ tôi biết tôi đang vật lộn thế nào, họ sẽ đưa tôi vào bệnh viện nội trú và điều đó có nghĩa là không còn đại học và tôi sẽ mất học bổng.",0,0,0,0,0,0,1,0,0,0
"Trong năm thứ 4 và thứ 5 của sự nghiệp, tôi không được đối xử tôn trọng, không có dấu hiệu đánh giá cao cho tất cả những giờ làm thêm tôi đã bỏ ra, hoặc mức độ tin cậy bất chấp bệnh tật và chấn thương. Người quản lý của tôi không phải là một người tốt, và người quản lý của tôi trở nên tệ hơn đến mức tôi không thể hỏi họ bất kỳ câu hỏi nào nữa vì tôi biết sự lạm dụng sẽ theo sau.",0,0,0,0,0,0,0,0,0,1
"Tôi muốn bị ốm, và tôi biết điều đó thật khủng khiếp, nhưng tôi không thể ngăn mình lại.",0,0,0,0,0,0,0,0,0,0
"Trước khi chúng tôi bắt đầu hẹn hò và trong năm đầu tiên của mối quan hệ, ham muốn tình dục của cô ấy thật tuyệt vời. Theo thời gian nó dần giảm xuống. Đến mức bây giờ chúng tôi quan hệ 1-2 lần một tháng.",0,0,0,0,0,0,0,0,0,0
"Vì không có gì tôi làm là đủ tốt, chúng tôi đã cùng nhau quyết định rằng tôi nên tìm một người cố vấn mới.",0,0,0,1,0,0,0,0,0,0
"Hàng ngày và đôi khi trước khi ngủ, tôi luôn tưởng tượng ra các kịch bản và nhân vật trong đầu và sống trong đó.",0,0,0,0,0,0,0,0,0,0
"Gần đây, nó đã biến thành OCD với các ý nghĩ xâm nhập về tội lỗi và xấu hổ về nhiều điều. Tôi thường tự hỏi liệu có một ký ức nào đó mà tôi đã kìm nén từ thời thơ ấu đã là nguyên nhân gốc rễ cho các vấn đề của tôi hay không.",0,0,0,0,0,0,0,0,0,0
"Tôi không biết bắt đầu từ đâu hay nói gì, nhưng tôi biết tôi bị trầm cảm. Tôi đã nghĩ một thời gian khá lâu rằng tôi mắc rối loạn lưỡng cực hoặc rối loạn nhân cách ranh giới, hoặc cả hai.",0,0,0,0,0,0,0,0,0,0
"Tôi chưa nói với ai điều này, tôi biết họ sẽ nói “đừng hành động điên rồ” hoặc điều đó thật lố bịch.",0,0,0,0,0,0,1,0,0,0
"Tôi luôn là đứa trẻ nghĩ rằng họ đang lắng nghe nhưng lại gõ bút nhìn ra ngoài cửa sổ hoặc di chuyển chân vòng quanh khiến những người xung quanh bạn tức giận. Tôi mất rất nhiều thời gian để đọc một cái gì đó, tôi thậm chí phải đọc kỹ các câu hỏi trước khi tôi hiểu. Tôi là một người đọc tốt, chỉ là tâm trí tôi không biết mình vừa đọc gì.",0,0,0,0,0,0,0,0,0,0
"Tôi cảm thấy như thể càng thể hiện bản thân, tôi càng sợ hãi khi thể hiện bản thân, và tôi nghĩ tất cả là vì những gì tôi đã làm khi còn học cấp hai.",0,0,0,0,0,0,0,0,0,0
"Khoảng một năm trước, tôi bị lo lắng nghiêm trọng và có vài cơn hoảng loạn mỗi ngày. Theo thời gian, tôi phát triển ngày càng nhiều triệu chứng như ý nghĩ xâm nhập, v.v. Tuy nhiên, sau một thời gian khá dài, tôi phát triển các triệu chứng rất đáng lo ngại khiến tôi nghĩ rằng mình đang phát triển chứng tâm thần phân liệt/loạn thần.",0,0,0,0,0,0,0,0,0,0
"Tôi biết bộ não mình đang nói dối tôi khi nó cảm thấy như tôi sẽ bị trầm cảm suốt đời – tôi có thể nghi ngờ suy nghĩ này. Tất nhiên, việc điều trị thành công không đến được khiến tôi buồn, khiến tôi cảm thấy vô vọng.",0,0,0,0,0,0,0,0,0,0
Tôi biết lời khuyên của bạn là hãy là người lớn hơn.,0,0,0,0,0,0,0,0,0,0
"Họ cười khi tôi dành thời gian tìm kiếm các trường đại học ở nước ngoài vì tôi muốn đi thật xa, thật xa khỏi đây. Ngay cả cố vấn học đường cũng cười tôi, và tôi cảm thấy mình không xứng đáng nói rằng mình có vấn đề.",0,0,0,0,0,0,1,0,0,0
Tôi thề sẽ không bao giờ lừa dối chồng vì tôi không bao giờ tha thứ cho bản thân vì đã lừa dối anh ấy với người đàn ông đã có gia đình. Tôi đã phá vỡ cuộc hôn nhân của người đàn ông đó và tôi không yêu anh ấy.,0,0,0,0,0,0,0,0,0,0
Tôi nghĩ bạn tôi bị trầm cảm và rối loạn hoảng sợ. Tôi sợ rằng việc khuyến khích cô ấy tìm kiếm sự giúp đỡ sẽ đẩy cô ấy ra xa.,0,0,0,0,0,0,0,0,0,0
"Anh ấy biết nhưng bố mẹ tôi thì không. Gia đình tôi là người Mormon nhưng tôi thì không, và tôi không muốn làm bố mẹ thất vọng hơn những gì tôi đã làm.",0,0,0,0,0,0,0,0,0,0
"Tôi đã nhận ra rằng vấn đề nội tâm chính mà tôi gặp phải là tôi thiếu bản sắc, thiếu hứng thú, thiếu cảm xúc, và do đó gặp khó khăn trong giao tiếp xã hội. Về cơ bản tôi là một người vô cảm, và tôi không biết làm thế nào để dung hòa 'tôi' thật sự với hình ảnh mà người khác mong đợi – một người 'bình thường' có đam mê và ham muốn. Tôi không quan tâm đến bất cứ điều gì – không chính trị hay các sự kiện hiện tại, không bạn bè hay gia đình hay những người khác, không thể thao hay âm nhạc hay nghệ thuật. Bên ngoài, tôi là một học sinh giỏi, toàn diện. Thỉnh thoảng một bi kịch hoặc ví dụ đặc biệt sâu sắc sẽ khiến tôi cảm thấy muốn giúp đỡ, nhưng nhìn chung, tôi hoàn toàn vô cảm. Điều tương tự cũng xảy ra với các khía cạnh xã hội trong cuộc sống của tôi. Tuổi thơ, gia đình và tình bạn của tôi đều bình thường, nhưng tôi không có sự kết nối cảm xúc với bất kỳ ai; nếu ai đó 'gần gũi' với tôi qua đời, tôi sẽ chỉ quan tâm đến việc nó sẽ ảnh hưởng đến sự tiện lợi của tôi như thế nào. Tôi không có bất kỳ sở thích học thuật, thể thao hay nghệ thuật nào, và tôi không tin vấn đề là thiếu tiếp xúc.",0,0,0,0,0,0,0,0,1,0
Tôi cảm thấy ích kỷ và ngu ngốc.,0,0,0,0,0,0,0,1,0,0
"Tôi không phải là một người bình thường. Tôi là một người nhàm chán. Giọng nói của tôi bị chìm đi, và suy nghĩ về việc giọng nói của tôi nghe nhỏ nhẹ đến mức nào khiến tôi không muốn nói bất cứ điều gì nữa vì không ai có thể nghe thấy tôi nên mọi người nói chuyện đè lên tôi.",0,0,0,0,0,0,0,1,0,0
"Trong khoảng một năm trở lại đây, tôi nhận thấy mình dường như thiếu (hoặc ít hơn rất nhiều) sự thông cảm và đồng cảm so với bạn bè cùng trang lứa. Có những điều nhỏ nhặt hơn, chẳng hạn như chưa bao giờ khóc khi xem bất kỳ bộ phim hay đọc sách nào… bao giờ.",0,0,0,0,0,0,0,0,0,0
"Tôi biết tôi không bị tâm thần phân liệt, tôi khá tự nhận thức về mọi thứ, tôi có thể phân biệt giữa tưởng tượng và thực tế nhưng những gì đang xảy ra với tôi là hoàn toàn có thật và tôi không biết phải làm gì với nó hay nó đang được thực hiện như thế nào. Tôi đã dùng thuốc điều trị tâm thần ít nhất 4 lần nhưng không loại nào ngăn chặn được nó",0,0,0,0,0,0,0,0,0,0
"Nó bắt đầu bằng một cảm giác nhói, tràn đầy adrenaline trong đầu tôi, sau đó trở thành cảm giác ngứa ran hoặc tê ở một nơi khác, chẳng hạn như ở tay hoặc mặt, hoặc đôi khi nó cảm thấy như đang biểu hiện bên trong đầu tôi.",0,0,0,0,0,0,0,0,0,0
"Cô ấy là một người phụ nữ rất ghen tuông, không cho phép anh ấy có bạn bè là nữ.",0,0,0,0,0,0,0,1,0,0
Tôi luôn cảm thấy như có ai đó sẽ làm hại tôi và tôi cực kỳ cảnh giác.,1,0,0,0,0,0,0,0,0,0
"Chào bạn, tôi đã phải chịu rất nhiều thất bại liên tiếp trong một thời gian ngắn (3 năm).",0,0,0,0,0,0,0,0,0,0
"Cao 1m80, nặng 61kg, ngực DD — nhưng những lựa chọn của anh ấy đã khiến tôi cảm thấy vô giá trị.",0,1,0,0,0,0,0,0,0,0
"Tôi không có một người bạn nào và nếu có ai muốn đi chơi, tôi sẽ viện cớ để bỏ họ. Tôi chỉ không thể chịu nổi khi ở gần mọi người. Và bây giờ tôi ở đây, trượt lớp 9, hoàn toàn không có bạn bè, tôi đang dùng thuốc và đi trị liệu nhưng tôi vẫn không thể ổn định cuộc sống của mình. Mỗi khi làm bất cứ điều gì, tôi đều cảm thấy thất bại.",0,0,0,0,0,1,0,0,0,0
"Đó là lúc một cảm giác kỳ lạ trong đầu tôi bắt đầu. Thật khó để mô tả – có lẽ giống như tôi không ngủ đủ giấc (và tôi ngủ nhiều hơn trước đây) hoặc như căng thẳng. Tôi cũng lo lắng và vụng về hơn bình thường. Khả năng tập trung học tập của tôi kém, mặc dù cuối cùng tôi vẫn cố gắng hoàn thành.",0,0,0,0,0,0,0,0,0,0
Bây giờ tôi có thể tự kiểm soát nhưng tôi không nghĩ mình có thể làm được mãi mãi.,0,0,0,0,0,0,1,0,0,0
Tôi đang mắc kẹt giữa gia đình và bạn trai và đến thời điểm này tôi chọn anh ấy hơn họ vì tôi thấy cả tương lai của mình với anh ấy.,0,0,0,0,0,0,0,0,0,0
Người yêu cũ của tôi làm mọi thứ có thể để không cho anh ấy chơi.,0,0,0,0,0,0,0,0,0,0
