Original Text,Label,Emotional Reasoning,Overgeneralization,Should Statements,Personalization,Mental Filter,Disqualifying the Positive,Jumping to Conclusions,Labeling and Mislabeling,Magnification and Minimization,All-or-Nothing Thinking
"Trong năm thứ 4 và thứ 5 của sự nghiệp, tôi không được đối xử tôn trọng, không có dấu hiệu đánh giá cao cho tất cả những giờ làm thêm tôi đã bỏ ra, hoặc mức độ tin cậy bất chấp bệnh tật và chấn thương. Người quản lý của tôi không phải là một người tốt, và người quản lý của tôi trở nên tệ hơn đến mức tôi không thể hỏi họ bất kỳ câu hỏi nào nữa vì tôi biết sự lạm dụng sẽ theo sau.",1,0,0,0,0,0,0,0,0,0,1
Bất kỳ loại âm thanh nào cũng làm tôi khó chịu khi tôi ở trong tâm trạng này. Tôi hoặc tin người quá nhiều hoặc không tin họ chút nào. Tôi cảm thấy rất tội lỗi. ,1,0,0,0,0,0,0,0,0,0,1
Lỗi nhỏ trong câu chuyện hoàn hảo xuất hiện vài tháng sau khi chúng tôi bắt đầu hẹn hò. Anh ấy bỏ lỡ bữa tối và một ngày cuối tuần chúng tôi đáng lẽ phải ở bên nhau và không trả lời các cuộc gọi của tôi.,1,0,0,0,0,0,0,0,0,0,1
"Sau khi tìm việc gần 3 năm, tôi trở nên miễn cưỡng không muốn nỗ lực thêm vào hành động vô ích này nữa. Tôi cũng cảm thấy như vậy về việc theo đuổi bất kỳ loại mối quan hệ nào. Tôi không có mục tiêu, ước mơ hay kế hoạch cho tương lai. Thành thật mà nói, tôi chỉ muốn ra khỏi nhà với bộ quần áo trên người và chấp nhận sự thật rằng tôi không nên chạy trốn khỏi số phận chết trên đường phố.",1,0,1,0,0,0,0,0,0,0,1
Tôi không biết mình đang cảm thấy gì và điều đó khiến tôi rất sợ hãi. Tôi cảm thấy như mình đã mất đi bản thân. Tôi tự hỏi liệu có kỹ thuật nào tôi có thể sử dụng để giúp mình bình tĩnh và suy nghĩ hợp lý không. ,1,0,0,0,0,0,0,0,0,0,1
Tôi không thể làm gì được vì tôi cũng không muốn làm mẹ tôi căng thẳng. vì vậy em gái tôi có thể làm bất cứ điều gì cô ấy muốn.,1,0,0,0,0,0,0,0,0,0,1
"Tôi rất thẳng thắn trong cách thể hiện, tôi điềm tĩnh nhưng thường thì tôi sẽ lăng mạ và hỏi họ tại sao họ lại làm điều đó. Tôi thường khá khó chịu và chúc họ gặp điều tồi tệ nhất trong cuộc sống. Đơn giản vì tôi tin rằng mọi người nên thể hiện một chút hối hận vì đã thối nát.",1,0,0,0,0,0,0,0,0,0,1
"Một nửa lý do tôi như vậy là vì tôi không có bạn thân để đi chơi hay gì cả. Trong khi mọi người thường đi xem phim, đi biển, hay đi đâu đó vui vẻ thì tôi ở nhà. Mẹ tôi bắt đầu nhận ra điều đó, bà luôn gợi ý tôi đi chơi với bạn bè nhưng sự thật là tôi không dám nói với bà rằng tôi thực sự không có ai.",1,0,0,0,0,0,0,0,0,0,1
"Ban đầu tôi cố gắng giúp đỡ và điều đó không dễ dàng vì tôi cảm thấy chán nản nhưng tôi luôn đặt anh ấy lên hàng đầu. Nhưng, tôi đã nghĩ về điều gì sẽ xảy ra nếu anh ấy tự tử và bây giờ tôi muốn anh ấy làm điều đó, tôi muốn anh ấy chết.",1,0,0,0,0,0,0,0,0,0,1
Tôi cảm thấy điều đó không đáng để đối phó và điều này chỉ đẩy tôi sâu hơn vào vì sự thiếu đạo đức nghề nghiệp khiến tương lai càng khó khăn hơn để đối phó. ,1,0,0,0,0,0,0,0,0,0,1
