Original Text,Label,Emotional Reasoning,Overgeneralization,Should Statements,Personalization,Mental Filter,Disqualifying the Positive,Jumping to Conclusions,Labeling and Mislabeling,Magnification and Minimization,All-or-Nothing Thinking
Tôi luôn cảm thấy như có ai đó sẽ làm hại tôi và tôi cực kỳ cảnh giác.,1,1,0,0,0,0,0,0,0,0,0
"Tôi sợ rằng sự việc này sẽ luôn là một vết nhơ trong hồ sơ mối quan hệ của tôi với anh ấy, và rằng anh ấy sẽ chỉ thấy nỗi đau bị phản bội và lừa dối, khi đó không phải là ý định của tôi.",1,1,0,0,0,0,0,0,0,0,0
"Tôi cảm thấy bị cướp đi cơ hội nói chuyện với cô ấy. Bây giờ bố cô ấy muốn tôi nói chuyện với cô ấy, mẹ cô ấy muốn tôi đi tư vấn, và tôi muốn phớt lờ vì tôi thành thật nghĩ rằng đây là một loại bẫy mà mẹ cô ấy đang giăng ra với hy vọng giành được quyền nuôi con toàn phần.",1,1,0,0,0,0,0,0,0,0,0
"anh trai tôi luôn được mọi thứ, anh ấy đến gặp bố tôi và nhận được £30 hoặc hơn mỗi lần anh ấy nhận tiền cho những thứ khác hàng ngày và khi tôi đến gặp bố tôi, tất cả những gì tôi nhận được chỉ là £5. Anh trai tôi cũng nhận được một chiếc Xbox Connect từ bố tôi. Tôi đã hỏi bố tôi một chiếc Xbox 360 và ông ấy nói ông ấy không có tiền nhưng ông ấy luôn mua đồ cho anh trai tôi và khi anh trai tôi về nhà, anh ấy khoe khoang về nó và tôi bắt đầu chán ngán. Sinh nhật tôi đến và tất cả những gì ông ấy tặng tôi chỉ là một món đồ trang trí nhỏ. Tôi không muốn tỏ ra vô ơn, chỉ là ông ấy đối xử với anh trai tôi khác với tôi, ông ấy nên đối xử với cả hai chúng tôi như nhau nhưng ông ấy không làm. Tôi nghĩ đó là sự thiên vị.",1,1,0,0,0,0,0,0,0,0,0
"Tôi cảm thấy tê liệt hoặc buồn, và tôi cũng rất lo lắng rằng bạn trai tôi không còn thích tôi nữa hoặc đang lừa dối (mặc dù anh ấy không có lý do gì để tôi cảm thấy như vậy).",1,1,0,0,0,0,0,0,0,0,0
Tôi sợ mọi người có thể nghe thấy những gì tôi đang nghĩ và tất cả họ chỉ đang cố gắng che giấu điều đó khỏi tôi.,1,1,0,0,0,0,0,0,0,0,0
"Tại sao bố mẹ tôi lại nói rằng họ muốn tôi chết và bỏ rơi tôi? Mỗi ngày tôi đi học về, tất cả những gì chúng tôi làm ở nhà là cãi nhau về mọi thứ nhỏ nhặt, mẹ tôi đối xử tệ với tôi, tôi cảm thấy muốn bật khóc nhưng tôi không làm, tôi kìm nén. Đôi khi khi tôi cãi nhau với bố mẹ, thật khó để tôi chấp nhận những điều họ nói với tôi. Tôi trở nên rất chán nản nhưng không thể hiện cảm xúc của mình, họ nói tôi không có trái tim và họ không muốn tôi, họ muốn tôi rời đi mãi mãi.",1,1,0,0,0,0,0,0,0,0,0
Tôi đã lo lắng về việc bạn trai tôi có thể lừa dối tôi kể từ khi chúng tôi bắt đầu hẹn hò. Tôi không có lý do gì để không tin anh ấy và anh ấy thực sự là người đàn ông ngọt ngào nhất mà tôi biết. ,1,1,0,0,0,0,0,0,0,0,0
"Tôi từ chối đi vì tôi không biết liệu nó có nằm trong hồ sơ của tôi hay không, điều đó có thể ảnh hưởng đến giấc mơ trở thành bác sĩ tâm thần của tôi. Tôi có một nỗi sợ hãi lớn về việc bị nghẹt thở và chết đuối. Dường như mỗi khi tôi đến gần việc đánh bại nó, tôi lại bị đánh gục xuống đáy.",1,1,0,0,0,0,0,1,0,0,0
"Thực tế là tôi ghét tỏ ra cần thiết. Tôi quá khác biệt, tôi cảm thấy mình không có điểm chung nào với họ.",1,1,0,0,0,0,0,0,0,0,0
