Original Text,Label,Emotional Reasoning,Overgeneralization,Should Statements,Personalization,Mental Filter,Disqualifying the Positive,Jumping to Conclusions,Labeling and Mislabeling,Magnification and Minimization,All-or-Nothing Thinking
"Nếu bố mẹ tôi biết tôi đang vật lộn thế nào, họ sẽ đưa tôi vào bệnh viện nội trú và điều đó có nghĩa là không còn đại học và tôi sẽ mất học bổng.",1,0,0,0,0,0,0,1,0,0,0
"Tôi chưa nói với ai điều này, tôi biết họ sẽ nói “đừng hành động điên rồ” hoặc điều đó thật lố bịch.",1,0,0,0,0,0,0,1,0,0,0
"Họ cười khi tôi dành thời gian tìm kiếm các trường đại học ở nước ngoài vì tôi muốn đi thật xa, thật xa khỏi đây. Ngay cả cố vấn học đường cũng cười tôi, và tôi cảm thấy mình không xứng đáng nói rằng mình có vấn đề.",1,0,0,0,0,0,0,1,0,0,0
Bây giờ tôi có thể tự kiểm soát nhưng tôi không nghĩ mình có thể làm được mãi mãi.,1,0,0,0,0,0,0,1,0,0,0
Điều này đã đến mức khủng hoảng khi tôi phải tạm dừng năm thứ 3 đại học vì tôi cảm thấy rất lo lắng về việc mọi người nghĩ tôi điên và các cuộc họp làm tôi kinh hoàng.,1,0,0,0,0,0,0,1,0,0,0
"Dù vậy, mẹ tôi luôn nhìn tôi với vẻ khó chịu.",1,0,0,0,0,0,0,1,0,0,0
"Và tôi cảm thấy mình sẽ không bao giờ là người đàn ông mà cô ấy thực sự ngưỡng mộ, không phải là một nhạc sĩ tài năng và thơ mộng, nổi tiếng",1,0,0,0,0,0,0,1,0,0,0
"Xin chào, cảm ơn bạn đã đọc, Mọi người nói suy nghĩ quá nhiều là nghĩ về một vấn đề đã cho quá nhiều đối với tôi, giả sử tôi gặp một số rắc rối một tuần trước và bây giờ tôi đã đưa ra quyết định và vấn đề đó đã được giải quyết và tôi biết điều đó, tuy nhiên khi tôi rảnh rỗi hoặc hạnh phúc, tôi buộc mình phải nghĩ về nó và mọi thứ, tôi không thể dừng lại và tôi làm điều đó cho đến khi tôi không còn cảm thấy hạnh phúc.",1,0,0,0,0,0,0,1,0,0,0
Tôi cũng đang đối mặt với khả năng mang thai đứa con thứ hai của anh ấy mà thành thật mà nói tôi không nghĩ mình có thể có được vì tôi đã sinh mổ và tôi sợ mình sẽ không đủ mạnh mẽ về mặt tinh thần để trải qua một thai kỳ khác vì trải nghiệm lần trước quá khó khăn.,1,0,0,0,0,0,0,1,0,0,0
"Nó chỉ cảm thấy như họ có thể không coi trọng tôi hoặc nghĩ rằng tôi đang tìm kiếm sự chú ý. Và tôi không muốn họ nhìn tôi khác đi như thể tôi là một kẻ điên vì tôi lo lắng. Tôi muốn nói với họ, nhưng tôi chỉ không thể. Tôi không cảm thấy mình đáng để họ dành thời gian.",1,0,0,0,0,0,0,1,0,0,0
