Original Text,Label,Emotional Reasoning,Overgeneralization,Should Statements,Personalization,Mental Filter,Disqualifying the Positive,Jumping to Conclusions,Labeling and Mislabeling,Magnification and Minimization,All-or-Nothing Thinking
Tôi cảm thấy ích kỷ và ngu ngốc.,1,0,0,0,0,0,0,0,1,0,0
"Tôi không phải là một người bình thường. Tôi là một người nhàm chán. Giọng nói của tôi bị chìm đi, và suy nghĩ về việc giọng nói của tôi nghe nhỏ nhẹ đến mức nào khiến tôi không muốn nói bất cứ điều gì nữa vì không ai có thể nghe thấy tôi nên mọi người nói chuyện đè lên tôi.",1,0,0,0,0,0,0,0,1,0,0
"Cô ấy là một người phụ nữ rất ghen tuông, không cho phép anh ấy có bạn bè là nữ.",1,0,0,0,0,0,0,0,1,0,0
Tôi là cây hài trong nhóm bạn bè của mình và là “người lạc quan tràn đầy năng lượng điên cuồng” luôn làm mọi người vui vẻ.,1,0,0,0,0,0,0,0,1,0,0
"Tôi đã hai lần cố gắng tự tử và tôi đổ lỗi cho mẹ tôi về điều đó. Tôi nghĩ cô ấy là một người khủng khiếp, không yêu tôi hay bất cứ ai ngoài bản thân mình.",1,0,0,0,0,0,0,0,1,0,0
Cô gái này thật không thể chịu nổi! Cô ấy ích kỷ và không thể nghĩ cho ai khác ngoài bản thân. Tôi tin rằng cô ấy đã đủ lớn để chịu trách nhiệm về những gì mình làm sai và làm phần của mình để giúp chúng tôi trở thành một gia đình.,1,0,0,0,0,0,0,0,1,0,0
"Bước vào lớp 8, tôi ban đầu có hy vọng, tôi hy vọng tôi sẽ quay lại và tôi sẽ trở lại với nhịp sống cũ và mọi thứ sẽ ổn, nhưng khi tôi quay lại thì chỉ có nhiều vấn đề hơn. Tôi không tin ai cả, mỗi khi tôi ở bên bạn bè, tôi chỉ cảm thấy cô đơn, và tôi nghĩ rằng họ có lẽ muốn tôi đi để họ có thể thực sự vui vẻ. Một phần trong tôi tự hỏi liệu tất cả điều này có phải là nghiệp báo, và tôi thực sự là một người xấu, hay một kẻ ái kỷ đang chịu đựng hậu quả từ hành động của mình.",1,0,0,0,0,0,0,0,1,0,0
Tôi đang ở trong tam cá nguyệt thứ 3 và mẹ tôi dường như là một con quỷ!,1,0,0,0,0,0,0,0,1,0,0
Tôi thiếu động lực và tôi luôn cảm thấy lười biếng. Tôi trì hoãn tất cả công việc học tập của mình và tôi hoàn toàn không có ý thức quản lý thời gian. Tôi thực sự bắt đầu ghét bản thân mình vì tính cách của tôi có quá nhiều khuyết điểm. Tôi không nghĩ mình là một người tốt.,1,0,0,0,0,0,0,0,1,0,0
"Tôi không có ai để nói chuyện về điều này, vì tôi không muốn bạn bè và gia đình biết tôi đang nghĩ gì, và tôi không muốn họ biết tôi là một kẻ thất bại…",1,0,0,0,0,0,0,0,1,0,0
Tôi thành thật nghĩ rằng tôi vô dụng và không có tương lai phía trước.,1,0,0,0,0,0,0,0,1,0,0
Tôi cảm thấy mình như một kẻ thất bại vì mọi người đều giao tiếp và thậm chí không nhận thấy tôi ở đó.,1,0,0,0,0,0,0,1,1,0,0
Hàng xóm của tôi 65 tuổi và ông ta rất độc ác.,1,0,0,0,0,0,0,0,1,0,0
Anh ta là mối nguy hiểm đối với chúng tôi và là một người cha tồi tệ.,1,0,0,0,0,0,0,0,1,0,0
"Mọi người thấy tôi thông minh, nhưng tôi thấy mình ngu ngốc.",1,0,0,0,0,0,0,0,1,0,0
"Khi tôi đang làm một nhiệm vụ, tôi cảm thấy mình như một kẻ ngốc hoàn toàn.",1,0,0,0,0,0,0,0,1,0,0
"Cô ấy kín đáo, hướng nội, lớn lên trong một gia đình Cơ đốc giáo sùng đạo, nơi mọi thứ đều được che giấu. Khá giả. Học giỏi. Tôi là một người hướng ngoại điển hình. Ngớ ngẩn, tự phát. Gia đình tôi cởi mở, nhưng ồn ào, hỗn loạn và không có cấu trúc. Nghèo. Khôn ngoan đường phố.",1,0,0,0,0,0,0,0,1,0,0
"Tôi khá u tối, tôi thích sự hài hước đen tối, tôi tốt bụng, tôi cũng là một kẻ khốn nạn.",1,0,0,0,0,0,0,0,1,0,0
Cha tôi là người hay chỉ trích và đạo đức giả nhất mà tôi từng gặp.,1,0,0,0,0,0,0,0,1,0,0
