Original Text,Label,Emotional Reasoning,Overgeneralization,Should Statements,Personalization,Mental Filter,Disqualifying the Positive,Jumping to Conclusions,Labeling and Mislabeling,Magnification and Minimization,All-or-Nothing Thinking
"Tôi đã nhận ra rằng vấn đề nội tâm chính mà tôi gặp phải là tôi thiếu bản sắc, thiếu hứng thú, thiếu cảm xúc, và do đó gặp khó khăn trong giao tiếp xã hội. Về cơ bản tôi là một người vô cảm, và tôi không biết làm thế nào để dung hòa 'tôi' thật sự với hình ảnh mà người khác mong đợi – một người 'bình thường' có đam mê và ham muốn. Tôi không quan tâm đến bất cứ điều gì – không chính trị hay các sự kiện hiện tại, không bạn bè hay gia đình hay những người khác, không thể thao hay âm nhạc hay nghệ thuật. Bên ngoài, tôi là một học sinh giỏi, toàn diện. Thỉnh thoảng một bi kịch hoặc ví dụ đặc biệt sâu sắc sẽ khiến tôi cảm thấy muốn giúp đỡ, nhưng nhìn chung, tôi hoàn toàn vô cảm. Điều tương tự cũng xảy ra với các khía cạnh xã hội trong cuộc sống của tôi. Tuổi thơ, gia đình và tình bạn của tôi đều bình thường, nhưng tôi không có sự kết nối cảm xúc với bất kỳ ai; nếu ai đó 'gần gũi' với tôi qua đời, tôi sẽ chỉ quan tâm đến việc nó sẽ ảnh hưởng đến sự tiện lợi của tôi như thế nào. Tôi không có bất kỳ sở thích học thuật, thể thao hay nghệ thuật nào, và tôi không tin vấn đề là thiếu tiếp xúc.",1,0,0,0,0,0,0,0,0,1,0
Nó khiến tôi hoảng sợ và sau đó tôi nghĩ rằng cảm giác của tôi đã bị phóng đại do lo lắng và không có gì liên quan đến tình dục ở đó.,1,0,0,0,0,0,0,0,0,1,0
"Bây giờ nó khiến tôi lên cơn hoảng loạn, tôi phải rời lớp học vài lần và tôi không thể nhìn bất cứ ai, tôi không thể chú ý trong lớp học chút nào vì tim tôi đập thình thịch và tôi không thể thở.",1,0,0,0,0,0,0,0,0,1,0
"Đầu óc tôi liên tục lang thang và tôi dường như không bao giờ có thể chú ý đến bất cứ điều gì. Khi ai đó hỏi tôi một câu hỏi, đôi khi tôi biết rằng tôi biết câu trả lời nhưng tôi không thể tìm thấy nó và thực sự cảm thấy như không có gì ngoài sự mờ mịt trong đầu tôi.",1,0,0,0,0,0,0,0,0,1,0
"Theo nghĩa đen, điều duy nhất tôi cần tuyệt vọng là một đơn thuốc. Chủ yếu là tôi chỉ không muốn trải qua những tác dụng cai nghiện kinh hoàng. ",1,0,0,0,0,0,0,0,0,1,0
"Bất cứ khi nào tôi nhìn hoặc nghĩ về điều gì đó khiến tôi căng thẳng, tim tôi bắt đầu đập nhanh và tôi thường bắt đầu thở dốc. Sáng nay, tôi đến một nhà hàng và như thường lệ rất căng thẳng vì không có lựa chọn thuần chay. Sau đó, điểm phá vỡ, tôi nhìn lên và thấy một cái đầu hươu trên tường và khoảnh khắc đó, cảm thấy rất căng thẳng và buồn bã. Tôi ngay lập tức bắt đầu thở dốc và mắt tôi tràn ngập nước mắt.",1,0,0,0,0,0,0,0,0,1,0
"Tôi cứ tự nhủ rằng chắc chắn có điều gì khác đang khiến tôi cảm thấy như thế này, bởi vì như tôi đã nói, tôi dường như không trải qua các cơn hoảng loạn giống như hầu hết mọi người.",1,0,0,0,0,0,0,0,0,1,0
"Chúa ơi, tôi căng thẳng đến mức muốn tự tử.",1,0,0,0,0,0,0,0,0,1,0
"Không biết đây có phải là nơi thích hợp để hỏi không nhưng tôi đã bị ho dai dẳng lẻ tẻ trong nhiều năm. Nó chỉ xảy ra khi tôi có những suy nghĩ căng thẳng hoặc lo lắng. Chủ yếu là khi tôi lo lắng thì nó mới xảy ra. Tôi thường là người có rất nhiều lo lắng và vì vài tuần qua tôi đã trải qua một số tình huống cá nhân khó khăn, tôi đã tăng cường căng thẳng và lo lắng.",1,0,0,0,0,0,0,0,0,1,0
"Ở tuổi lên chín, tôi cùng gia đình bị ghẻ. Đó là một trải nghiệm cô lập và đau thương, để lại cho tôi những triệu chứng PTSD nhẹ nhưng kéo dài và dai dẳng.",1,0,0,0,0,0,0,0,0,1,0
"Trước đây tôi không có vấn đề gì về điều đó, nhưng bây giờ tôi hối hận khi xem tất cả những cảnh này vì nó làm hỏng niềm vui và cảm giác của bộ phim. Tôi bị trầm cảm nặng khi nghĩ về nó, tôi không thể ngủ ngon, tôi cảm thấy tồi tệ, tôi cảm thấy buồn và nhiều vấn đề khác.",1,0,0,0,0,0,0,0,0,1,0
Tôi cảm thấy hoàn toàn trống rỗng và tôi đã mất niềm tin vào bản thân. Tôi không biết có chuyện gì với mình và mọi thứ đột nhiên trở nên khó khăn đối với tôi.,1,0,0,0,0,0,0,0,0,1,0
"Bất cứ khi nào cuộc trò chuyện chuyển sang bất cứ điều gì ngoài những câu chuyện phiếm, có khả năng tôi sẽ bật khóc.",1,0,0,0,0,0,0,0,0,1,0
"Tôi không còn ai để nương tựa. Tôi yếu đuối và tan vỡ, bị tổn thương và đánh đập.",1,0,0,0,0,0,0,0,0,1,0
Tôi đang thực hiện hàng loạt những việc tự giúp đỡ về sức khỏe đã chiếm trọn cuộc đời tôi và tôi chỉ ngày càng tệ hơn.,1,0,0,0,0,0,0,0,0,1,0
"Nỗi sợ hãi này khiến tôi chú ý một cách ám ảnh đến những suy nghĩ kỳ lạ của mình, điều đó dẫn đến việc phân tích sâu hơn về việc tôi thực sự tin rằng mình đang phát điên.",1,0,0,0,0,0,0,0,0,1,0
"Ngay bây giờ cảm giác như địa ngục và như thể tôi không bao giờ có thể quên cảm giác của mình lúc này, chỉ khi tôi nghĩ về việc suy nghĩ thì tôi mới cảm thấy lạ lùng và lo lắng.",1,0,0,0,0,0,0,1,0,1,0
"Giống như tôi đang ở dưới một ánh đèn sân khấu lớn mà tôi không thể chạy thoát, vì vậy tôi hoảng sợ khi không có bóng râm gần đó. Không khí trở nên đặc quánh và tôi cảm thấy như mình bị mắc kẹt và nghẹt thở.",1,0,0,0,0,0,0,0,0,1,0
"Tôi cảm thấy như mình đã mất hết phương hướng và động lực, và những hy vọng về tương lai của tôi lại một lần nữa trở nên mong manh.",1,0,0,0,0,0,0,1,0,1,0
"Tất cả bắt đầu khi tôi úp mặt vào ngực mẹ và có một khoảnh khắc bị kích thích. Tôi cảm thấy ghê tởm bản thân, muốn chết, nghĩ rằng mình không đáng sống hay thậm chí lên thiên đường.",1,0,0,0,0,0,0,0,0,1,0
"Tôi bỏ qua cho đến gần đây tôi thấy họ đã kết bạn trên Facebook. Tôi lại rất buồn với anh ấy và bày tỏ rằng điều đó làm tôi khó chịu đến mức nào. Như tôi đã nói với anh ấy, tôi sợ anh ấy đã nảy sinh tình cảm với người này và không muốn thừa nhận điều đó với chính mình, chứ đừng nói là với tôi.",1,1,0,0,0,0,0,0,0,1,0
"Điều này lan rộng ra ngoài thể loại kinh dị, đến mức tôi hoàn toàn ngừng xem phim hoặc chương trình và chơi game, hoặc thực sự say mê bất cứ thứ gì, có yếu tố bạo lực hoặc cái chết dưới bất kỳ hình thức nào.",1,0,0,0,0,0,0,0,0,1,0
"Tôi tự hỏi liệu mình có bao giờ khá hơn không, hay liệu giai đoạn trầm cảm này đã làm tổn thương não bộ của tôi theo cách không thể phục hồi được. Tôi cảm thấy liệu pháp không giúp ích gì cho việc này cả – suy nghĩ thấu đáo mọi thứ không thực sự nâng cao tâm trạng của tôi, thực ra nó thường làm mọi thứ tồi tệ hơn.",1,0,0,0,0,0,0,0,0,1,0
"Với việc tôi học ở một trong những trường tốt nhất đất nước, có điều kiện sống tuyệt vời và mọi người trong nhà đều có mọi thứ họ cần, tôi không nên có lý do để cảm thấy như thế này… nhưng dù sao, bạn bè và các thành viên khác trong gia đình tôi đều có rất nhiều của cải khiến tôi cảm thấy tự ti về nơi tôi sống, những gì tôi làm, cách tôi ăn mặc và những thứ tôi sở hữu.",1,0,0,0,0,0,0,0,0,1,0
"Tôi cảm thấy đó là lỗi của tôi, sự bất an của tôi, nỗi đau tiềm ẩn của tôi, sự thiếu xinh đẹp hoặc gợi cảm của tôi hoặc cân nặng của tôi hoặc bất kỳ điều tương tự nào khác. Tôi cảm thấy kém cỏi hơn một con người khi tôi phải thủ dâm.",1,0,0,0,1,0,0,0,0,1,0
"Bất cứ khi nào kế hoạch có dấu hiệu thất bại hoặc có vẻ như tôi đã mắc lỗi, tâm trí tôi phóng đại nó lên, tôi có cảm giác xấu hổ và lo lắng tràn ngập, biểu hiện bằng việc khóc không kiểm soát, và tôi khó có thể dừng lại cho đến khi có người trấn an tôi - điều này có thể xảy ra với một điều nhỏ nhặt như lỡ xe buýt hoặc quên một nhiệm vụ trong danh sách dài việc cần làm.",1,1,0,0,0,0,0,0,0,1,0
Tôi đã bị các cơn hoảng loạn trong 10 năm gần đây chúng trở nên tồi tệ hơn rất nhiều và tôi không thể vượt qua chúng nữa. Tôi bị lo lắng về sức khỏe nghiêm trọng và tim tôi sẽ đập nhanh không rõ lý do nên bây giờ tôi tin rằng mình bị rung nhĩ và tôi không thể bỏ qua điều đó.,1,0,1,0,0,0,0,0,0,1,0
"Điều đó, cộng với rất nhiều chuyện khủng khiếp khác trong các mối quan hệ (chủ yếu là tình bạn), đã khiến tôi rơi vào trạng thái cảnh giác liên tục, nơi tôi không thể tận hưởng sự bầu bạn của bạn bè vì tôi liên tục suy nghĩ làm thế nào để khiến >họ< tận hưởng sự bầu bạn của mình.",1,0,0,0,0,0,0,0,0,1,0
Tôi rất sợ một số người cụ thể đến nỗi tôi không thể nhìn thấy hoặc thậm chí nghe thấy giọng nói của họ. Tôi hoàn toàn hoảng loạn.,1,0,0,0,0,0,0,0,0,1,0
"Tôi đã trở nên khá băn khoăn với việc không thể không coi cha mình là ""bị ô nhiễm"", thiếu một từ tốt hơn. Tôi không thể chuẩn bị bữa ăn khi ông ấy ở trong bếp hoặc uống đồ uống mà ông ấy đứng gần vì sợ ông ấy đã thở gần chúng. Tôi có thể nhớ lại việc không thể ăn bất kỳ món ăn nào mà ông ấy thậm chí đã đứng gần từ thời niên thiếu, điều đó có nghĩa là đồ ăn thừa hoặc phần thứ hai là không. Tôi không thể vào một căn phòng mà ông ấy đã ở mà không xịt nước xịt phòng và tôi đã không ngồi trên ghế sofa vì lý do tương tự. Ý nghĩ sử dụng cùng một dụng cụ, bất kể nó đã được rửa sạch kỹ lưỡng đến đâu, hoàn toàn kinh tởm. Nếu tôi biết ông ấy đã sử dụng nó, tôi không thể. Tôi cảm thấy tồi tệ, vì con cái của chính bạn đối xử với bạn như một nạn nhân của bệnh dịch hạch chắc hẳn rất đau lòng, nhưng tôi không thể làm gì được. Tôi cực kỳ ghét mùi cơ thể người, hơi thở, nước bọt và miệng nói chung - tôi thậm chí không thể xem những cảnh có cận cảnh mà không cảm thấy cần phải không thở hoặc đẩy không khí ra (thở ra mạnh mẽ) bị ô nhiễm bởi màn hình - nhưng nó ở mức cực đoan với ông ấy.",1,0,0,0,0,0,0,0,0,1,0
"Chào, tôi 14 tuổi, và tôi đã gặp vấn đề về việc nhổ và nghịch tóc theo nhiều cách khác nhau từ khi còn nhỏ. Tôi nghĩ đây chỉ là một thói quen xấu, cho đến khi tôi tình cờ thấy từ Trichotillomania trên mạng. Tôi đã tìm kiếm nó là gì và tôi thấy mình tự hỏi liệu mình có mắc phải nó không. Chỉ là, tôi không chắc mình có mắc phải nó hay không. Tôi không thực sự nhổ tóc ra để cảm nhận sự thích thú khi nhổ nó ra. Tôi kéo/giật đầu tóc nhiều lần đến mức làm rách ngọn tóc chẻ ngọn và kết quả là tóc rụng. Tôi có một sự thỏa mãn kỳ lạ khi nhổ bỏ những ngọn tóc chẻ ngọn khiến chúng tệ hơn. Và khi tôi nói liên tục, tôi có nghĩa là nghĩa đen là bất cứ lúc nào tay tôi không làm gì khác. Tôi thấy mình làm điều này khi tôi buồn chán hoặc lo lắng. Và xét rằng tôi lo lắng gần như mọi lúc, điều đó không thực sự giúp ích. Gần đây tôi thấy rằng việc chơi với những quả bóng từ tính nhỏ trong giờ học giúp tôi không nhổ tóc.",1,0,0,0,0,0,0,0,0,1,0
"Thực tế, tôi đã cắt tóc nhiều lần, không phải vì tôi táo bạo như tôi để mọi người tin, mà vì những sợi tóc riêng lẻ chạm vào da khiến tôi phát điên. Gần như đến mức tức giận. Tôi có những cách nhất định mà mọi thứ nhỏ nhặt cần phải được thực hiện và tôi cảm thấy như thế giới đang kết thúc khi những hệ thống đó bị phá vỡ.",1,0,0,0,0,0,0,0,0,1,0
"Tôi không chắc mình có thể làm gì để giúp anh ấy và chúng tôi. Tôi cảm thấy như mình sẽ phát điên theo đúng nghĩa đen hàng ngày. Cuối cùng tôi nổi cáu với mọi người hoặc không giải quyết được các vấn đề bình thường, vì tôi cảm thấy quá tải.",1,1,0,0,0,0,0,0,0,1,0
"Gần như bất cứ điều gì cũng có thể làm tôi tức giận bây giờ. Cho dù đó là tôi va ngón chân, mẹ tôi ho hay hàng xóm tạo ra tiếng động nhỏ nhất khi đổ rác",1,0,0,0,0,0,0,0,0,1,0
"Để bắt đầu, từ nhỏ tôi đã chuyển trường và được đặt vào một môi trường khác. Tôi học lớp ba và từ thời điểm đó trở đi, tôi không thể không suy sụp mỗi ngày.",1,0,1,0,0,0,0,0,0,1,0
"Và vì tôi là người mà anh ấy nói chuyện nhiều nhất, anh ấy đến gặp tôi và bắt đầu nói về ""sự tức giận"" và ""cơn giận không kiểm soát"" của anh ấy, và, thành thật mà nói, tôi không nghĩ anh ấy sẽ làm gì nhiều nhưng tôi đã giữ B tránh xa anh ấy đề phòng.",1,0,0,0,0,0,0,0,1,1,0
"Khi tôi gặp những ""cơn lo âu"" này, tôi cảm thấy như mình không thể kiềm chế được những gì mình đang cảm thấy nữa và nó biểu hiện ra thành những hành động như tôi quên thở và run rẩy cơ thể, níu chặt lấy da đầu trong khi khóc, hoặc cảm thấy như mình không thể làm gì cả ngoài việc nhìn chằm chằm vào khoảng không và lắng nghe.",1,0,0,0,0,0,0,0,0,1,0
Tôi luôn có cảm giác nghi ngờ và sợ hãi. Tôi cảm thấy như mình đang lên kế hoạch cho cái chết của chính mình thay vì đám cưới của mình. Bất kỳ suy nghĩ hoặc cuộc trò chuyện nào về đám cưới đều khiến tôi đau bụng.,1,0,0,0,0,0,0,0,0,1,0
"Và tôi đã khóc rất nhiều vì nhiều thứ như bài vở ở trường và căng thẳng. Ngay cả những điều nhỏ nhặt nhất như vô tình nghe bạn học chế giễu cân nặng của tôi. Vì vậy, tôi sợ rằng mình đang phản ứng thái quá như một nữ hoàng kịch tính phiền phức, ngu ngốc, béo phì mà tôi đang là. ",1,0,0,0,0,0,0,0,1,1,0
