Original Text,Label,Emotional Reasoning,Overgeneralization,Should Statements,Personalization,Mental Filter,Disqualifying the Positive,Jumping to Conclusions,Labeling and Mislabeling,Magnification and Minimization,All-or-Nothing Thinking
"Không có gì ở tôi nổi bật như một nghệ sĩ, và tôi cảm thấy như mình chẳng mang lại điều gì cho bất cứ ai.",1,0,0,0,0,1,0,0,0,0,0
"Năm nay tôi không dùng thuốc chống trầm cảm vì chúng không thực sự giúp ích. Tôi chỉ còn vài kỳ thi nữa và sau đó là luận văn thạc sĩ, nhưng tôi không thể làm gì. Tôi trốn vào các bộ phim và tiểu thuyết giả tưởng và khoa học viễn tưởng - điều duy nhất khiến tôi và thế giới quên đi mọi thứ trong một thời gian.",1,0,1,0,0,1,0,0,0,0,0
"Tôi có những giai đoạn giận dữ và trầm cảm mà tôi có thể nhận ra ngay từ khi thức dậy rằng đó sẽ là một ngày “tồi tệ”. Tôi trở nên quá tức giận với những điều nhỏ nhặt, và gây gổ với bạn đời của tôi.",1,0,0,0,0,1,0,0,0,0,0
"Tôi sợ nói chuyện với mọi người và khi ở gần mọi người, tôi cảm thấy linh hồn mình rời khỏi cơ thể và tôi bắt đầu có một “cơn”, nơi tôi hoảng loạn và cảm thấy như mình sắp chết thật. Tôi luôn rất sợ hãi vì tôi cứ mãi suy nghĩ về việc “tôi có thực sự sống hay không?”.",1,0,0,0,0,1,0,0,0,0,0
"Hôm nọ, tôi ở cùng với đứa em họ 9 tháng tuổi của mình và tự hỏi liệu nó có thật hay không. Điều đó khiến tôi rất sợ hãi. Tôi biết điều đó không đúng nhưng suy nghĩ đó cứ lặp đi lặp lại trong đầu tôi.",1,0,0,0,0,1,0,0,0,0,0
"Đã có nhiều tình huống như thế này, và việc sống trong một môi trường mà bây giờ mọi người (tất cả đều gấp đôi tuổi tôi hoặc hơn) bới móc ngay cả những cuộc trò chuyện điện thoại của tôi và la mắng về những gì họ nghĩ tôi là ai thực sự khó khăn. Tôi không chắc phải phản ứng thế nào, vì vậy tôi bỏ qua và giữ tập trung nhưng đồ đạc của tôi bị hư hỏng, và tôi không thể lên tiếng mà không bị biến thành “kẻ thù”",1,0,0,0,0,1,0,1,0,0,0
"Theo như tôi có thể nhớ, tôi luôn bị trầm cảm. ",1,0,0,0,0,1,0,0,0,0,0
Tôi luôn tự hỏi liệu việc làm này có nghĩa là có điều gì đó không ổn với tôi không.,1,0,0,0,0,1,0,0,0,0,0
"Tôi từng đi chơi với bạn bè rất nhiều, nhưng giờ tôi dành nhiều thời gian trong phòng với máy tính xách tay, nhưng ngay cả khi ra ngoài, tôi thấy rất khó để duy trì cuộc trò chuyện, và nếu tôi uống rượu hoặc hút cần sa, tôi chỉ rơi vào trạng thái hoàn toàn trầm cảm và sẽ không nói chuyện gì cả.",1,0,0,0,0,1,0,0,0,0,0
Tôi đã tự cải thiện bản thân vì lợi ích của chính mình bởi tôi nhận ra mình đã mất tất cả.,1,0,0,0,0,1,0,0,0,0,0
bố và mẹ tôi ly thân tôi hiếm khi gặp bố nhưng đôi khi ông sẽ gọi cho tôi và hứa sẽ đưa tôi đi đâu đó hoặc mua cho tôi món quà mà tôi muốn hoặc những thứ tương tự nhưng càng ngày bố càng thất hứa và tôi không thể không khóc ông ấy đã thất hứa quá nhiều và tôi mệt mỏi vì khóc nhưng tôi luôn làm vậy tôi đoán trước được điều đó bây giờ nhưng tôi luôn làm vậy tôi không muốn khóc vì ông ấy nữa,1,0,0,0,0,1,0,0,0,0,0
Tôi nhìn vào bản thân rất nhiều và rất khó để không nhận ra những khuyết điểm.,1,0,0,0,0,1,0,0,0,0,0
"Bạn trai hiện tại của tôi đi vắng và liên tục chọn những thứ khác ngoài tôi một cách trắng trợn, điều đó thật đau lòng. Quá say và người yêu cũ đã sờ soạng tôi. Tôi thậm chí còn không hôn anh ấy. Tôi đã ngăn anh ấy trước khi mọi việc đi quá xa và nhờ anh ấy gọi cho tôi một chiếc taxi về nhà.",1,0,0,0,0,1,0,1,0,0,0
"Nhưng tôi bằng cách nào đó vẫn rất nhạy cảm với cảm xúc của mình và bất cứ điều gì xung quanh tôi nghe có vẻ như cái chết, trầm cảm, buồn bã, tự tử hoặc những thứ tương tự. Những thứ đó làm tôi sợ hãi. Ví dụ, khi ai đó nói đùa về tôi, tôi ngay lập tức kiểm tra bản thân để đảm bảo rằng tôi không buồn, không tức giận hay bất cứ điều gì.",1,0,0,0,0,1,0,0,0,0,0
