Original Text,Label,Emotional Reasoning,Overgeneralization,Should Statements,Personalization,Mental Filter,Disqualifying the Positive,Jumping to Conclusions,Labeling and Mislabeling,Magnification and Minimization,All-or-Nothing Thinking
"Cao 1m80, nặng 61kg, ngực DD — nhưng những lựa chọn của anh ấy đã khiến tôi cảm thấy vô giá trị.",1,0,1,0,0,0,0,0,0,0,0
"Không ai hiểu tôi, và tôi không thể giải thích vì Chúa biết họ sẽ phản ứng thế nào.",1,0,1,0,0,0,0,0,0,0,0
"Tôi không thể giao tiếp với cô ấy trong hầu hết mọi khía cạnh trong cuộc sống của tôi, vì chúng tôi không thể hiểu nhau.",1,0,1,0,0,0,0,0,0,0,0
Cả đời tôi chưa bao giờ có niềm đam mê nào với bất cứ điều gì. ,1,0,1,0,0,0,0,0,0,0,0
"Mỗi khi tranh cãi, tôi luôn là người bị người khác hạ thấp.",1,0,1,0,0,0,0,0,0,0,0
Tôi luôn có cảm giác thoáng qua rằng cuộc hôn nhân và toàn bộ cuộc sống của chúng tôi chỉ là một vỏ bọc cho hành động của cô ấy để bảo vệ danh tiếng của cô ấy.,1,0,1,0,0,0,0,0,0,0,0
"Anh ấy chưa bao giờ ủng hộ hay thông cảm, thay vào đó anh ấy lạm dụng và độc ác.",1,0,1,0,0,0,0,0,0,0,0
"Tôi không thể ra khỏi giường, ý nghĩ phải đối mặt với thế giới mỗi ngày khiến tôi khóc và suy nghĩ về cuộc đời mình. Tôi ghét bản thân. Tôi không thể hoạt động trong bất kỳ tình huống xã hội nào và bây giờ tôi thậmậm chí không thể thực hiện bất kỳ nhiệm vụ đơn giản nào nữa.",1,0,1,0,0,0,0,0,0,0,0
Không có gì tôi làm hay nói là đúng cả.,1,0,1,0,0,0,0,0,0,0,0
"Đó là một cảm giác buồn bã, vô vọng như thể tôi không thể kết nối với mọi người hoặc có lẽ không muốn. Tôi được biết là một người rất trầm tính và có rất ít bạn bè. Khi còn nhỏ, tôi thực sự muốn có một người bạn thân nhưng không thực sự biết làm thế nào nên tôi chưa bao giờ có. Khi tôi cảm thấy mình có một tình bạn tốt với ai đó, họ dường như luôn tìm thấy một người khác vui vẻ hơn. Về tình bạn, tôi cảm thấy như mình đã từ bỏ việc cố gắng kết nối vì điều đó chưa bao giờ hiệu quả với tôi trước đây.",1,0,1,0,0,0,0,0,0,0,0
"Tôi cảm thấy vô cùng lo lắng khi làm các công việc (ngay cả những việc nhỏ như đóng gói/mở hành lý). Sau đó, tôi gạt mọi thứ sang một bên và không làm được gì cả. Thói quen sạch sẽ của tôi như căn hộ đã xuống cấp vì tôi từ chối tự mình tạo động lực để dọn dẹp. Tôi sẽ thấy mình trong bếp rồi trong phòng ngủ vì một lý do nào đó lại ngẫu nhiên trong phòng tắm, cuối cùng không hoàn thành được gì. Tôi cũng cảm thấy bị áp lực về những gì phải làm khi tôi hoàn thành bằng thạc sĩ và cảm thấy mình quá thờ ơ đến mức không thể tìm kiếm việc làm.",1,0,1,0,0,0,0,0,0,0,0
Tôi được chẩn đoán mắc bệnh rò rỉ tĩnh mạch bởi một bác sĩ tiết niệu. Tôi đã suy sụp thần kinh hoàn toàn. Tôi thức trắng đêm thở hổn hển và ước được chết vì tôi cảm thấy hoàn toàn vô giá trị và rất muốn tự tử. Đó là tất cả những gì tôi nghĩ đến và nó đã hủy hoại tôi. Tôi bỏ học đại học vì tôi không thể tập trung vào công việc của mình với sự đau khổ và những suy nghĩ xâm nhập ám ảnh.,1,0,1,0,0,0,0,0,0,0,0
"Trong phần lớn cuộc đời mình, nhưng gần đây trong 8 năm qua, tôi nhận thấy mình không thể xử lý căng thẳng tốt như bạn bè. Tôi dễ dàng suy sụp dưới áp lực khi đối mặt với một nhiệm vụ học tập rất khó khăn. Tôi lo rằng mình sẽ trượt một môn học hoặc nếu tôi không hoàn thành bài tập về nhà, tôi sẽ bị phạt. Tôi cũng liên tục lo lắng về thời hạn nộp bài tập và tôi thấy khó ngừng lo lắng về điều đó.",1,0,1,0,0,0,0,0,0,0,0
"Tôi tức giận với cô ấy mỗi khi cô ấy cố gắng nói với tôi rằng cô ấy sẽ thay đổi, và cô ấy sẽ tốt hơn. Tôi tức giận vì tôi biết đó là một lời nói dối hoàn toàn, và tôi ghét bị nói dối. Chuyện đó đã xảy ra với tôi quá nhiều lần rồi.",1,0,1,0,0,0,0,0,0,0,0
"Mọi thứ tôi cố gắng, tôi đều thua hoặc thất bại.",1,0,1,0,0,0,0,0,0,0,0
"Năm nay tôi không dùng thuốc chống trầm cảm vì chúng không thực sự giúp ích. Tôi chỉ còn vài kỳ thi nữa và sau đó là luận văn thạc sĩ, nhưng tôi không thể làm gì. Tôi trốn vào các bộ phim và tiểu thuyết giả tưởng và khoa học viễn tưởng - điều duy nhất khiến tôi và thế giới quên đi mọi thứ trong một thời gian.",1,0,1,0,0,1,0,0,0,0,0
"Từ lúc cô ấy thức dậy vào buổi sáng, cô ấy bắt đầu thách thức chúng tôi và tôi thực sự không biết phải làm gì.",1,0,1,0,0,0,0,0,0,0,0
