Original Text,Label,Emotional Reasoning,Overgeneralization,Should Statements,Personalization,Mental Filter,Disqualifying the Positive,Jumping to Conclusions,Labeling and Mislabeling,Magnification and Minimization,All-or-Nothing Thinking
"Vì không có gì tôi làm là đủ tốt, chúng tôi đã cùng nhau quyết định rằng tôi nên tìm một người cố vấn mới.",1,0,0,0,1,0,0,0,0,0,0
"Tôi cảm thấy vô giá trị và không được yêu thương, và một ngày nọ, tôi nhận ra điều này là đúng. Tôi nghĩ đó là lỗi của tôi, ngay cả khi tôi đã được bảo rằng không phải.",1,0,0,0,1,0,0,0,0,0,0
"Anh ta đẩy tôi vào bàn bếp và đặt tay quanh cổ tôi và các con của anh ta ở đó (tôi đã giúp chăm sóc chúng từ khi chúng còn bé, không đùa đâu) vì các con nhìn thấy và khóc, tôi cảm thấy tất cả là lỗi của tôi, vì vậy tôi quỳ xuống và xin tha thứ. Tôi thực sự ghét gia đình mình ngoại trừ mẹ tôi (bà ấy là mẹ tôi), em gái và các cháu gái của tôi.",1,0,0,0,1,0,0,0,0,0,0
"Tôi cảm thấy nếu tôi không thực hiện nỗi ám ảnh của mình thì điều gì đó tồi tệ sẽ xảy ra. Chẳng hạn như nhà tôi bị cháy, thành viên gia đình bị ốm hoặc điều gì đó tồi tệ xảy ra với một con người/động vật khác.",1,0,0,0,1,0,0,0,0,0,0
"Gần đây tôi cảm thấy thực sự choáng ngợp và nói chung là suy sụp, đặc biệt là về bản thân. Bất cứ khi nào ai đó nói điều gì đó xấu về tôi, tôi cảm thấy vô cùng tội lỗi và bật khóc ngay tại chỗ hoặc sau đó một mình.",1,0,0,0,1,0,0,0,0,0,0
Đôi khi tôi chỉ muốn biến mất và lòng tự trọng và sự tự tin của tôi ở mức thấp nhất mọi thời đại. Bố mẹ tôi xứng đáng có một cô con gái tốt hơn. Một người không có tất cả những vấn đề này.,1,0,0,0,1,0,0,0,0,0,0
"Bất cứ khi nào tôi và đối tác tranh cãi và đối tác bắt đầu phớt lờ tôi, tôi có xu hướng tìm đến bạn bè và kể cho họ nghe chuyện vừa xảy ra.. và tôi biết điều này không đúng! Điều này thường khiến mọi việc trở nên tồi tệ hơn và chúng tôi thậm chí còn mất bạn bè vì hành vi này… tại sao tôi lại làm vậy?",1,0,0,0,1,0,0,0,0,0,0
"Bất kỳ nỗ lực vụng về nào của tôi để bắt đầu cuộc trò chuyện cũng sẽ bị cười nhạo, vì vậy chúng nên dừng lại ngay bây giờ. Tôi không đủ hài hước hoặc thú vị, tôi muốn tự gọi mình là 'một cuốn sách mở' nhưng đó chỉ là vì không có gì thú vị về tôi mà tôi có thể che giấu. Tôi không có bất kỳ tài năng hoặc nghề nghiệp nào mà tôi có thể biện minh cho sự cô đơn của mình. Mỗi ngày, một giọng nói bên trong tôi bảo tôi đừng tiếp cận mọi người, bởi vì tôi không được mong muốn ở đó và họ sẽ tốt hơn nếu không có tôi. Tôi thương hại bản thân và điều đó khiến tôi trở nên đáng thương. Nói rằng tôi đáng thương thành tiếng chỉ khiến tôi càng đáng thương hơn. Tôi hoàn toàn trẻ con, nông cạn và buồn tẻ, nhưng mỗi khi tôi cố gắng cải thiện, tôi cảm thấy như mình đang đánh mất con người cũ và điều đó đẩy tôi lùi lại. Tôi cảm thấy mình già, 'lỗi thời' và rất, rất nhàm chán.",1,0,0,0,1,0,0,0,0,0,0
"Tôi có thể nghĩ ra mọi thứ, nhìn thấy tương lai, và tôi đã gây ra cái chết của ông nội bằng cách nhặt một đồng xu úp mặt. Khi mẹ tôi gửi những bức ảnh bà chụp, tôi đã rất lo lắng đến mức bật khóc. Đó là một cơn hoảng loạn khủng khiếp.",1,0,0,0,1,0,0,0,0,0,0
"Hoặc điều tôi nghĩ là sai với mình. Tất cả các vấn đề của tôi dường như do chính tôi tạo ra. Đôi khi tôi cảm thấy chán nản, nhưng tôi không xứng đáng bị chán nản. Tôi cảm thấy tội lỗi và vô ơn.",1,0,0,0,1,0,0,0,0,0,0
