Original Text,Label,Emotional Reasoning,Overgeneralization,Should Statements,Personalization,Mental Filter,Disqualifying the Positive,Jumping to Conclusions,Labeling and Mislabeling,Magnification and Minimization,All-or-Nothing Thinking
Có hai mặt trong tôi. Một mặt nghĩ rằng tôi nên có một mối quan hệ nhưng mặt khác tôi không muốn bất cứ điều gì cả và ngay cả việc nghĩ đến việc ở trong một mối quan hệ cũng khiến mặt đó của tôi cảm thấy ghê tởm. Mọi người đều nói với tôi rằng tôi nên có một mối quan hệ: “làm sao tôi có thể nói rằng tôi không muốn thứ gì đó nếu tôi còn chưa thử nó?” ,1,0,0,1,0,0,0,0,0,0,0
"Tôi biết điều này không bình thường, hoặc không đúng, nhưng gần đây tôi muốn giết ai đó, và theo những cách rất tàn bạo, thậm chí còn nghĩ đến việc tra tấn họ trước khi tôi làm điều đó.",1,0,0,1,0,0,0,0,0,0,0
"Tôi nghĩ mình có thể là người đồng tính nhưng tôi không biết, và điều đó thật bực bội và đáng sợ.",1,0,0,1,0,0,0,0,0,0,0
"Anh ấy nói với tôi rằng với tư cách là một người chị gái, tôi nên cứu anh ấy khỏi những tai họa với các cô gái bằng cách để anh ấy chạm và hôn tôi để anh ấy không trông giống một kẻ ngốc khi anh ấy thử.",1,0,0,1,0,0,0,0,0,0,0
"Điều đó không có nghĩa là tôi là người cầu toàn, công việc tôi đang làm bây giờ còn lâu mới ấn tượng, cũng như bất kỳ khía cạnh nào khác trong cuộc sống của tôi, nói tóm lại, nói rằng tôi là một kẻ thất bại là nói giảm nói tránh. Bất chấp tất cả những điều này, tôi vẫn cảm thấy mình vẫn là con người đó, tôi nên tốt hơn, tôi nên ở một vị trí công việc tốt hơn, tôi nên hòa đồng hơn, nhưng tôi không phải là những điều này và sợ rằng tôi sẽ không bao giờ như vậy; đơn giản vì tất cả những điều tôi đã làm cho đến nay đều vô ích nếu tôi cứ giữ nguyên vị trí.",1,0,0,1,0,0,0,0,1,0,0
"Vì vậy, một vấn đề kéo dài suốt đời (như tôi đã nhận ra) là tâm trạng, suy nghĩ và cảm xúc của tôi thay đổi quá nhanh, quá dễ dàng và không có lý do mạnh mẽ.",1,0,0,1,0,0,0,0,0,0,0
"Trong vài năm qua, tôi không nhận được nhiều từ cuộc sống. Tôi không cảm thấy gì như trước nữa. Giận dữ, hạnh phúc, vui vẻ, và thậm chí cả nỗi buồn dường như đã rời bỏ tôi. Những thứ từng mang lại cho tôi niềm vui cảm xúc giờ đây dường như chỉ để giải trí và chiếm lấy tâm trí tôi. Tôi không có thăng trầm như tuổi thiếu niên nên mọi thứ dường như khá bằng phẳng với một vài sự sụt giảm. Mọi thứ không còn cảm thấy rất ""thực"" nữa, thế giới thực cảm thấy như mơ và tôi liên tục thu mình lại.",1,1,0,1,0,0,0,0,0,0,0
"Tôi luôn coi điều này là bình thường và của con người, đặc biệt đối với người ở tuổi tôi, nhưng nó đã đến mức tôi thực sự không thể phân biệt được giữa điều tôi thực sự tin tưởng và điều tôi nghĩ mình tin tưởng.",1,0,0,1,0,0,0,0,0,0,0
"Tôi rất kỳ lạ trong giao tiếp xã hội và lớn lên tôi nghe nói tình dục chỉ là thứ sẽ đưa bạn xuống địa ngục nếu bạn làm điều đó, bởi vì bạn sẽ mang thai.",1,0,0,1,0,0,0,0,0,0,0
"Xét mọi khía cạnh, tôi đáng lẽ phải rất thành công.",1,0,0,1,0,0,0,0,0,0,0
