"Original Text","Label"
"Tôi không có kinh nghiệm đặc biệt nào.","1"
"Có lẽ là do áp lực công việc?","0"
"Làm thế nào để chết không đau đớn?","0"
"Có rất nhiều điều muốn làm, cứ nghĩ mãi mà không hành động, làm thế nào để mình hành động được đây? Trong lòng thực ra rất kháng cự, nhưng làm thế nào để hành động được đây?","0"
"À, sắp đến kỳ thi cuối kỳ rồi, còn phải đối mặt với phỏng vấn chứng chỉ giảng dạy, áp lực hơi lớn một chút.","0"
"Cơ thể có một số vấn đề, nhưng mỗi lần nói đi bệnh viện lại rất không muốn, một số bệnh càng trì hoãn càng nghiêm trọng, hơn nữa bệnh viện kiểm tra quá nhiều, có chút không thích ứng, nên làm thế nào đây?","0"
"Bạn trai rất tốt, chỉ là không có chí tiến thủ, sống qua ngày, đơn vị và nhà hai điểm một đường.","0"
"Khi gặp chuyện, luôn quá mềm lòng, thấy người khác đáng thương, luôn nghĩ cho người khác, không biết từ chối, ngại từ chối, làm thế nào để thay đổi?","0"
"Có đứa trẻ thích ngồi xổm trong bồn cầu ngồi nửa tiếng, và tình trạng này xảy ra mỗi ngày, chủ yếu là để chơi điện thoại, mọi người có thấy tình huống tương tự không?","0"
"Thường xuyên nghi ngờ bản thân, cảm thấy mình vô dụng, ngu ngốc, không học được gì, không làm được gì, sợ thất bại, cảm thấy rất buồn, tôi nên điều chỉnh tâm lý này như thế nào để tin tưởng vào bản thân?","1"
"Nếu chúng ta luôn bị những người xung quanh nói là “hỷ nộ ái ố ra mặt sẽ thiệt thòi”, vậy chúng ta nên thay đổi như thế nào, nên kiểm soát một cách có ý thức hay cứ mặc kệ?","0"
"Cảm thấy mình làm bất cứ việc gì cũng có thể bị phân tâm bởi việc nghe nhạc, mở âm thanh rất lớn, dần dần không thể thích nghi với môi trường yên tĩnh được nữa, là vì sao vậy?","0"
"Chuyên ngành máy tính cảm thấy học gì cũng không dễ dàng và rất khó, quá khó, không biết cách học, áp lực tâm lý cực lớn vì sự kém cỏi, kết quả kém, học không được rất khó chịu, chỉ có thể chơi game, mạng máy tính rất khó.","1"
"Nam 25 tuổi, độc thân từ nhỏ, rất lo lắng trước sự thúc ép xem mắt của cha mẹ, cảm thấy mình không có ham muốn yêu đương và quan hệ tình dục.","0"
"Luôn không thể kiểm soát được việc nghĩ đến những điều đáng sợ, không thể không nghĩ, rất khó chịu và sợ hãi.","1"
"Tôi và bạn trai mỗi lần ở bên nhau đều không có gì để nói, anh ấy không có gì muốn nói với tôi và tôi cũng không có gì muốn nói với anh ấy, tôi cũng không phải là người thích lải nhải. Phải làm sao đây?","0"
"Khi lãnh đạo phê bình người khác, tôi có một cảm giác căng thẳng và lo lắng không thể giải thích được, không biết đây là chuyện gì. Rất bối rối.","0"
"Trẻ em ở nhà hàng xóm, bị bạn bè bắt nạt, cha mẹ lại không có ở nhà đi làm ăn xa, lại không dám nói với giáo viên, nói ra thì kẻ bắt nạt sẽ càng lộng hành, nên làm thế nào đây?","0"
"Mất ngủ, cứ đến tối cảm thấy lúc ngủ bắt đầu suy nghĩ lung tung, không kiểm soát được bản thân, ở xa bạn trai, có thể sẽ chia tay. Rất mông lung.","1"
"Người ít suy nghĩ làm nhiều cùng lắm là mệt mỏi về thể chất, ngủ một giấc là không sao, người nghĩ nhiều thì đêm nào cũng mất ngủ, càng nghĩ càng hưng phấn, tại sao không thể nghĩ bao nhiêu việc làm bấy nhiêu?","0"
"Tại sao luôn muốn làm hài lòng người khác? Khó chịu, thực ra trong lòng rất không muốn, nhưng vì một số chuyện mà buộc phải làm hài lòng.","0"
"Người đàn ông hơn 40 tuổi rồi, tính cách vẫn như một đứa trẻ, thích chơi, không lo lắng gì cả, chỉ biết chờ đợi, dựa dẫm, ỷ lại, anh ấy có thể lớn lên được không?, liệu có phải đến già vẫn sẽ như vậy không?","1"
"Sợ hãi công việc, không có cảm giác an toàn với môi trường, chỉ cần nghĩ đến ngày mai đi làm là có cảm xúc tiêu cực, cảm thấy cuộc đời vô vọng, cuộc đời không hạnh phúc, xin hãy thiết lập động lực đúng đắn cho tôi.","1"
"Tôi và bạn gái không cãi nhau, mọi thứ đều tốt đẹp, không có chuyện gì xảy ra, cô ấy bỗng nhiên có một khoảng thời gian không muốn nói chuyện với tôi và cũng không muốn gặp tôi, tôi không biết tại sao ai có thể giúp tôi?","0"
"Nói không nghe thì rất muốn quát mắng, dùng đòn roi để dọa, nhưng chưa bao giờ thực sự đánh, luôn cảm thấy đánh chỉ là tạm thời, quát mắng cũng không tốt cho con, tôi muốn rèn luyện cho con sự tự tin và tự giác đôi khi cảm thấy bất lực.","0"
"Việc đối phương không đủ dũng khí để đi tiếp với tôi có phải là không yêu không?","0"
"Một số chuyện cũ nếu không nhớ kỹ thì không thể nhớ ra, nhưng đôi khi cũng cảm thấy bị ảnh hưởng, nên nhớ lại hay cứ để chúng chôn sâu trong ký ức?","0"
"Gần đây ngủ muộn dậy sớm, thời gian ngủ mỗi ngày không đủ, quá nhiều việc phải hoàn thành, cơ thể cũng đưa ra cảnh báo, hai lần cảm lạnh liên tiếp. Làm thế nào để có thể như những người thép, tự giác và tràn đầy năng lượng?","0"
"Điều khó nhất trong học tập là thiết lập mối liên hệ giữa cái đã biết và cái chưa biết, kết nối cái cần học và cái đã học theo một cách nào đó, nhưng thực tế thường rất khó khăn, nguyên nhân là gì?","0"
"Bây giờ tôi phải đối mặt với cô ấy như thế nào, luôn cảm thấy không thoải mái, tôi lại không biết phải làm sao.","0"
"Những việc muốn làm nhưng không đủ can đảm để làm, sợ thất bại, làm thế nào để vượt qua tâm lý này?","0"
"Cảm xúc của người khác đôi khi ảnh hưởng đến tôi, họ không vui, đôi khi tôi nghĩ là do mình gây ra, và không thể không quan tâm. Nhưng, điều này có chút lo lắng, tôi có bị trầm cảm không?","1"
"Gặp chuyện đừng hoảng sợ, có thực sự không hoảng sợ không? Gần đây gặp rất nhiều chuyện, chuyện nào cũng không suôn sẻ, luôn gặp khó khăn. Mọi người đều nói tôi đừng hoảng sợ là có thể giải quyết, cuối cùng thì sao? Chẳng giải quyết được gì cả, ngược lại trong lòng càng thêm phiền muộn.","1"
"Tôi chưa làm bài kiểm tra tính cách Minnesota rồi, điểm bài kiểm tra PDQ quá cao.. Chuyện này là sao vậy?","0"
"Có nên nói với bạn rằng chồng cô ấy ngoại tình không? Tình cờ nghe người khác nói.","0"
"Một học sinh cấp hai rồi, nhưng hàng ngày ngủ vẫn luôn ôm gấu có bình thường không? Không ôm thì không ngủ được…","0"
"Khi mối quan hệ gần gũi, tôi luôn không kiểm soát được việc tức giận, chỉ cần anh ấy ở đó là tôi buồn thì không kìm được mà càu nhàu, một mình thì tâm trạng lại yên tĩnh hơn, tại sao lại như vậy?","0"
"Tâm trạng luôn rất thấp, cảm thấy sống không có ý nghĩa gì. Không hiểu tại sao mình lại như vậy.","1"
"Trong giao tiếp xã hội, không biết cách hòa đồng với người khác. Gặp vấn đề không biết cách xử lý, làm thế này, làm thế kia hai suy nghĩ cứ xuất hiện. Nhưng không biết phải làm sao?","0"
"Tại sao sợ ánh sáng, sợ bị lợi dụng, sợ bị thiệt thòi lại dẫn đến tự cô lập, tự hủy hoại bản thân","1"
