Original Text,Label
Tôi không có kinh nghiệm đặc biệt nào.,1
"Thường xuyên nghi ngờ bản thân, cảm thấy mình vô dụng, ngu ngốc, không học được gì, không làm được gì, sợ thất bại, cảm thấy rất buồn, tôi nên điều chỉnh tâm lý này như thế nào để tin tưởng vào bản thân?",1
"Chuyên ngành máy tính cảm thấy học gì cũng không dễ dàng và rất khó, quá khó, không biết cách học, áp lực tâm lý cực lớn vì sự kém cỏi, kết quả kém, học không được rất khó chịu, chỉ có thể chơi game, mạng máy tính rất khó.",1
"Luôn không thể kiểm soát được việc nghĩ đến những điều đáng sợ, không thể không nghĩ, rất khó chịu và sợ hãi.",1
"Mất ngủ, cứ đến tối cảm thấy lúc ngủ bắt đầu suy nghĩ lung tung, không kiểm soát được bản thân, ở xa bạn trai, có thể sẽ chia tay. Rất mông lung.",1
"Người đàn ông hơn 40 tuổi rồi, tính cách vẫn như một đứa trẻ, thích chơi, không lo lắng gì cả, chỉ biết chờ đợi, dựa dẫm, ỷ lại, anh ấy có thể lớn lên được không?, liệu có phải đến già vẫn sẽ như vậy không?",1
"Sợ hãi công việc, không có cảm giác an toàn với môi trường, chỉ cần nghĩ đến ngày mai đi làm là có cảm xúc tiêu cực, cảm thấy cuộc đời vô vọng, cuộc đời không hạnh phúc, xin hãy thiết lập động lực đúng đắn cho tôi.",1
"Cảm xúc của người khác đôi khi ảnh hưởng đến tôi, họ không vui, đôi khi tôi nghĩ là do mình gây ra, và không thể không quan tâm. Nhưng, điều này có chút lo lắng, tôi có bị trầm cảm không?",1
"Gặp chuyện đừng hoảng sợ, có thực sự không hoảng sợ không? Gần đây gặp rất nhiều chuyện, chuyện nào cũng không suôn sẻ, luôn gặp khó khăn. Mọi người đều nói tôi đừng hoảng sợ là có thể giải quyết, cuối cùng thì sao? Chẳng giải quyết được gì cả, ngược lại trong lòng càng thêm phiền muộn.",1
"Tâm trạng luôn rất thấp, cảm thấy sống không có ý nghĩa gì. Không hiểu tại sao mình lại như vậy.",1
"Tại sao sợ ánh sáng, sợ bị lợi dụng, sợ bị thiệt thòi lại dẫn đến tự cô lập, tự hủy hoại bản thân",1
"Khi trò chuyện luôn không nắm bắt được ý của đối phương, nói được vài câu là cả hai bên đều không có gì để nói.",1
"Suốt ngày tâm trạng thấp thỏm, ban đêm đặc biệt khó chịu, khó thở, muốn đi bệnh viện khám nhưng không muốn nói với gia đình, muốn tự mua thuốc uống, hoặc có cách nào khác để giảm bớt cảm xúc này không.",1
"Hôm nay con trai quên mang đồng hồ điện thoại, tôi rất sợ hãi và lo lắng, cảm thấy mình không thể kiểm soát được sự lo lắng của mình, tôi không biết tại sao? Có thể giúp tôi không?",1
"Đột nhiên cảm thấy cực kỳ điên cuồng muốn giết người, ngứa ngáy trong lòng là sao vậy?",1
"Cùng bạn bè mở một quán trà sữa, bây giờ là mùa đông, kinh doanh không tốt, nợ nần chồng chất, lòng rất mệt mỏi, rất muốn bỏ cuộc, nhưng lại không nỡ.",1
"Ngày nào cũng bị mắng vô cớ ở nhà, sắp phát điên rồi, muốn chết quá.",1
"Nữ 65 tuổi, ngày nào cũng chỉ biết bới lông tìm vết. Nhìn người khác toàn là khuyết điểm, làm sao đây?",1
