Original Text,Label,Emotional Reasoning,Overgeneralization,Should Statements,Personalization,Mental Filter,Disqualifying the Positive,Jumping to Conclusions,Labeling and Mislabeling,Magnification and Minimization,All-or-Nothing Thinking,text_length
"Khi tôi đã chuẩn bị sẵn sàng để rời nhà, mẹ tôi lại ốm nặng, trong nhà luôn xảy ra những chuyện khiến tôi không dám rời nhà ra ngoài lập nghiệp. Tôi nghĩ ở lại quê hương, ở bên mẹ, tôi cũng có thể làm nên sự nghiệp, không phải chỉ những ngọn núi xa mới cao hơn và đẹp hơn.",0,0,0,0,0,0,0,0,0,0,0,62
"Ghét bản thân như thế này, nhưng lại không thể thay đổi bản thân như thế này.. Có phải vì cô đơn không?",1,0,0,0,1,0,0,0,0,0,0,23
Tôi chắc chắn nếu chúng tôi sống cùng nhau thì sẽ dễ dàng hơn nhưng chúng tôi không làm vậy.,0,0,0,0,0,0,0,0,0,0,0,20
"Tôi không phải là một đứa trẻ xinh đẹp, tôi cảm thấy hơi tự ti. Ngoại hình của tôi là tội lỗi nguyên thủy của thất bại của tôi, tất cả những thất bại đều là do tôi không đẹp.",1,0,0,0,1,0,0,0,0,0,0,40
"Các loại áp lực lớn, khi cảm thấy mệt mỏi, sẽ không tự chủ được mà nổi cáu. Mọi người xung quanh đều đánh giá tôi là một người nóng tính, tôi cũng không muốn như vậy, phải làm sao?",0,0,0,0,0,0,0,0,0,0,0,40
"Không hòa hợp được với những người trong ký túc xá, họ quá tùy tiện và không biết tôn trọng, còn nói xấu sau lưng, châm chọc, tôi rất áp lực, phải làm sao khi mỗi ngày chỉ có một mình?",1,0,1,0,0,0,0,0,0,0,0,41
"Khi điểm danh học tập luôn đến phút cuối cùng, đây có phải là bệnh trì hoãn không?",0,0,0,0,0,0,0,0,0,0,0,18
"Mọi người xung quanh đã kể bí mật tôi thích một bạn nam lớp bên cạnh cho người khác nghe, và nó cũng đến tai tôi. Xong rồi, anh ấy biết rồi, anh ấy có thể sẽ không bao giờ để ý đến tôi nữa.",1,0,1,0,0,0,0,0,0,0,0,45
"Tôi luôn trốn tránh, tôi thật vô dụng.",1,0,0,0,0,0,0,0,1,0,0,8
"Nếu tôi chết, và những quá khứ đen tối này của tôi đều bị phanh phui, tôi tin rằng không ai sẽ thông cảm cho tôi, ngược lại còn thấy thật đáng ghét!",1,0,0,0,0,0,0,1,0,0,0,33
"Gần đây tôi cảm thấy chiều cao của mình không được lý tưởng cho lắm, và tôi nghĩ chiều cao của tôi không lý tưởng, không ai sẽ yêu tôi, cuộc đời tôi xong rồi.",1,0,0,0,0,0,0,0,0,0,1,35
"Người yêu phải biết cách tha thứ cho những lỗi lầm nhỏ của tôi, đó là điều anh ấy nên làm.",1,0,0,1,0,0,0,0,0,0,0,21
"Tôi cần phải giúp đỡ em trai mình, nó là trách nhiệm của tôi.",1,0,0,1,0,0,0,0,0,0,0,14
"Tôi thấy người khác cuối tuần cùng nhau đi chơi, nhưng không ai rủ tôi đi. Nếu tôi có thể phân tách ra một nhân cách khác, như vậy, sẽ không cô đơn nữa.",1,1,0,0,0,0,0,0,0,0,0,34
"Tôi đạt được thành tích cao, nhưng tôi nghĩ đó là do tôi đã gian lận một chút.",1,0,0,0,0,0,1,0,0,0,0,18
"Đã hẹn bạn cùng lớp đi chơi bóng rổ, đến giờ hẹn mà anh ấy vẫn chưa đến. Sự tồn tại của tôi thật đáng buồn, ngay cả một cuộc hẹn chơi bóng rổ đơn giản cũng bị người khác bỏ rơi. Thế giới của tôi đã hoàn toàn sụp đổ, không còn sự sống.",1,0,0,0,0,0,0,0,0,0,1,55
"Bất kể chuyện gì xảy ra, tôi đều dễ dàng nổi giận, không thể thay đổi được, rốt cuộc là nguyên nhân gì",1,1,0,0,0,0,0,0,0,0,0,23
