Feature Set,Model,Accuracy,F1-score
Lexical,Logistic Regression,0.8029360537447127,0.8750000000000001
Lexical,Random Forest,0.7994526001492909,0.8784680337756332
Syntactic,Logistic Regression,0.7816780821917808,0.877462758289284
Syntactic,Random Forest,0.775470890410959,0.8689241534424592
Sentiment,Logistic Regression,0.7479472505598408,0.8558007117437723
Sentiment,Random Forest,0.6989300821099776,0.8109375
Interaction,Logistic Regression,0.7432197063946255,0.8523182598740698
Interaction,Random Forest,0.7360039810898233,0.8365429055615468
Semantic,Logistic Regression,0.7544165215227668,0.8539292585466924
Semantic,Random Forest,0.7651157004229908,0.856969696969697
