Feature,Model,Target,F1-micro,F1-macro
Lexical,Logistic,Emotional Reasoning,0.7618810649415277,0.5696706055708558
Lexical,RandomForest,Emotional Reasoning,0.9387907439661607,0.48421457905544146
Lexical,Logistic,Overgeneralization,0.7591440656879821,0.583714052140714
Lexical,RandomForest,Overgeneralization,0.9308285643194825,0.5092615041884523
Lexical,Logistic,Should Statements,0.936053744712615,0.7790065379110906
Lexical,RandomForest,Should Statements,0.9840756407066434,0.9079179876677922
Lexical,Logistic,Personalization,0.8208509579497387,0.6173190859077444
Lexical,RandomForest,Personalization,0.9472505598407565,0.6104466366007191
Lexical,Logistic,Mental Filter,0.8604130380691715,0.6547206972419574
Lexical,RandomForest,Mental Filter,0.9661607365016173,0.7813083154885938
Lexical,Logistic,Disqualifying the Positive,0.9596914655386912,0.8554378177322577
Lexical,RandomForest,Disqualifying the Positive,0.9885543667579,0.9463065066265173
Lexical,Logistic,Jumping to Conclusions,0.7954715103259518,0.7100970550036856
Lexical,RandomForest,Jumping to Conclusions,0.8840507588952475,0.6941016635110786
Lexical,Logistic,Labeling and Mislabeling,0.8526996765364518,0.7690229885057471
Lexical,RandomForest,Labeling and Mislabeling,0.9071908434934063,0.7721587804590757
Lexical,Logistic,Magnification and Minimization,0.8392634983826822,0.6219836136416317
Lexical,RandomForest,Magnification and Minimization,0.9686489176412043,0.7973885864085501
Lexical,Logistic,All-or-Nothing Thinking,0.7663597909927843,0.5678239753280536
Lexical,RandomForest,All-or-Nothing Thinking,0.9390395620801194,0.4962208441180699
Syntactic,Logistic,Emotional Reasoning,0.6412042796715601,0.44311174130026354
Syntactic,RandomForest,Emotional Reasoning,0.7822841502861408,0.5075001151903189
Syntactic,Logistic,Overgeneralization,0.6558845483951231,0.47618005578149936
Syntactic,RandomForest,Overgeneralization,0.7865140582234387,0.49970315612072924
Syntactic,Logistic,Should Statements,0.6163224682756905,0.4627005347593583
Syntactic,RandomForest,Should Statements,0.7409803433689973,0.5454323808530438
Syntactic,Logistic,Personalization,0.7230654391639711,0.5263634708951817
Syntactic,RandomForest,Personalization,0.8153769594426474,0.5367018856949679
Syntactic,Logistic,Mental Filter,0.4319482458322966,0.3509194740987189
Syntactic,RandomForest,Mental Filter,0.7320228912664842,0.505542348201003
Syntactic,Logistic,Disqualifying the Positive,0.6611097287882558,0.5085950208452282
Syntactic,RandomForest,Disqualifying the Positive,0.817367504354317,0.6243159878760093
Syntactic,Logistic,Jumping to Conclusions,0.6446877332669818,0.5551595652988106
Syntactic,RandomForest,Jumping to Conclusions,0.6840009952724558,0.5380576833965652
Syntactic,Logistic,Labeling and Mislabeling,0.42124906693207265,0.4001935920343666
Syntactic,RandomForest,Labeling and Mislabeling,0.6412042796715601,0.5200895992050347
Syntactic,Logistic,Magnification and Minimization,0.5294849465041055,0.40977206038305686
Syntactic,RandomForest,Magnification and Minimization,0.7718337894998756,0.5337254903449238
Syntactic,Logistic,All-or-Nothing Thinking,0.6195571037571536,0.4481200808890285
Syntactic,RandomForest,All-or-Nothing Thinking,0.7924856929584474,0.49855933907323763
Sentiment,Logistic,Emotional Reasoning,0.5357053993530729,0.4296590664344982
Sentiment,RandomForest,Emotional Reasoning,0.8482209504851953,0.5299966718506044
Sentiment,Logistic,Overgeneralization,0.46031351082358796,0.39281492531637185
Sentiment,RandomForest,Overgeneralization,0.7827817865140583,0.5110899768614804
Sentiment,Logistic,Should Statements,0.5347101268972381,0.4238408940929419
Sentiment,RandomForest,Should Statements,0.8601642199552127,0.5734589835281463
Sentiment,Logistic,Personalization,0.5347101268972381,0.42661651459915273
Sentiment,RandomForest,Personalization,0.7982085095794974,0.5137304310009794
Sentiment,Logistic,Mental Filter,0.6942025379447624,0.510515149416054
Sentiment,RandomForest,Mental Filter,0.887783030604628,0.5776103560172212
Sentiment,Logistic,Disqualifying the Positive,0.8176163224682756,0.6357098967064811
Sentiment,RandomForest,Disqualifying the Positive,0.9201293854192585,0.7368780013236673
Sentiment,Logistic,Jumping to Conclusions,0.47897486937049016,0.4584182579467043
Sentiment,RandomForest,Jumping to Conclusions,0.7342622542921124,0.5582240084182861
Sentiment,Logistic,Labeling and Mislabeling,0.6061209256033839,0.549755677118007
Sentiment,RandomForest,Labeling and Mislabeling,0.7663597909927843,0.6338080799857398
Sentiment,Logistic,Magnification and Minimization,0.5100771336153272,0.4051416306541591
Sentiment,RandomForest,Magnification and Minimization,0.887783030604628,0.6303176903332521
Sentiment,Logistic,All-or-Nothing Thinking,0.5195322219457577,0.4180942524138509
Sentiment,RandomForest,All-or-Nothing Thinking,0.7880069669071909,0.5134714407502131
Interaction,Logistic,Emotional Reasoning,0.5690470266235382,0.4561705651650807
Interaction,RandomForest,Emotional Reasoning,0.7773077880069669,0.5442493713957011
