Original Text,Label,Emotional Reasoning,Overgeneralization,Should Statements,Personalization,Mental Filter,Disqualifying the Positive,Jumping to Conclusions,Labeling and Mislabeling,Magnification and Minimization,All-or-Nothing Thinking
"Nếu bố mẹ tôi biết tôi đang vật lộn thế nào, họ sẽ đưa tôi vào bệnh viện nội trú và điều đó có nghĩa là không còn đại học và tôi sẽ mất học bổng.",1,0,0,0,0,0,0,1,0,0,0
"Trong năm thứ 4 và thứ 5 của sự nghiệp, tôi không được đối xử tôn trọng, không có dấu hiệu đánh giá cao cho tất cả những giờ làm thêm tôi đã bỏ ra, hoặc mức độ tin cậy bất chấp bệnh tật và chấn thương. Người quản lý của tôi không phải là một người tốt, và người quản lý của tôi trở nên tệ hơn đến mức tôi không thể hỏi họ bất kỳ câu hỏi nào nữa vì tôi biết sự lạm dụng sẽ theo sau.",1,0,0,0,0,0,0,0,0,0,1
"Vì không có gì tôi làm là đủ tốt, chúng tôi đã cùng nhau quyết định rằng tôi nên tìm một người cố vấn mới.",1,0,0,0,1,0,0,0,0,0,0
"Tôi chưa nói với ai điều này, tôi biết họ sẽ nói “đừng hành động điên rồ” hoặc điều đó thật lố bịch.",1,0,0,0,0,0,0,1,0,0,0
"Họ cười khi tôi dành thời gian tìm kiếm các trường đại học ở nước ngoài vì tôi muốn đi thật xa, thật xa khỏi đây. Ngay cả cố vấn học đường cũng cười tôi, và tôi cảm thấy mình không xứng đáng nói rằng mình có vấn đề.",1,0,0,0,0,0,0,1,0,0,0
"Tôi đã nhận ra rằng vấn đề nội tâm chính mà tôi gặp phải là tôi thiếu bản sắc, thiếu hứng thú, thiếu cảm xúc, và do đó gặp khó khăn trong giao tiếp xã hội. Về cơ bản tôi là một người vô cảm, và tôi không biết làm thế nào để dung hòa 'tôi' thật sự với hình ảnh mà người khác mong đợi – một người 'bình thường' có đam mê và ham muốn. Tôi không quan tâm đến bất cứ điều gì – không chính trị hay các sự kiện hiện tại, không bạn bè hay gia đình hay những người khác, không thể thao hay âm nhạc hay nghệ thuật. Bên ngoài, tôi là một học sinh giỏi, toàn diện. Thỉnh thoảng một bi kịch hoặc ví dụ đặc biệt sâu sắc sẽ khiến tôi cảm thấy muốn giúp đỡ, nhưng nhìn chung, tôi hoàn toàn vô cảm. Điều tương tự cũng xảy ra với các khía cạnh xã hội trong cuộc sống của tôi. Tuổi thơ, gia đình và tình bạn của tôi đều bình thường, nhưng tôi không có sự kết nối cảm xúc với bất kỳ ai; nếu ai đó 'gần gũi' với tôi qua đời, tôi sẽ chỉ quan tâm đến việc nó sẽ ảnh hưởng đến sự tiện lợi của tôi như thế nào. Tôi không có bất kỳ sở thích học thuật, thể thao hay nghệ thuật nào, và tôi không tin vấn đề là thiếu tiếp xúc.",1,0,0,0,0,0,0,0,0,1,0
Tôi cảm thấy ích kỷ và ngu ngốc.,1,0,0,0,0,0,0,0,1,0,0
"Tôi không phải là một người bình thường. Tôi là một người nhàm chán. Giọng nói của tôi bị chìm đi, và suy nghĩ về việc giọng nói của tôi nghe nhỏ nhẹ đến mức nào khiến tôi không muốn nói bất cứ điều gì nữa vì không ai có thể nghe thấy tôi nên mọi người nói chuyện đè lên tôi.",1,0,0,0,0,0,0,0,1,0,0
"Cô ấy là một người phụ nữ rất ghen tuông, không cho phép anh ấy có bạn bè là nữ.",1,0,0,0,0,0,0,0,1,0,0
Tôi luôn cảm thấy như có ai đó sẽ làm hại tôi và tôi cực kỳ cảnh giác.,1,1,0,0,0,0,0,0,0,0,0
"Cao 1m80, nặng 61kg, ngực DD — nhưng những lựa chọn của anh ấy đã khiến tôi cảm thấy vô giá trị.",1,0,1,0,0,0,0,0,0,0,0
"Tôi không có một người bạn nào và nếu có ai muốn đi chơi, tôi sẽ viện cớ để bỏ họ. Tôi chỉ không thể chịu nổi khi ở gần mọi người. Và bây giờ tôi ở đây, trượt lớp 9, hoàn toàn không có bạn bè, tôi đang dùng thuốc và đi trị liệu nhưng tôi vẫn không thể ổn định cuộc sống của mình. Mỗi khi làm bất cứ điều gì, tôi đều cảm thấy thất bại.",1,0,0,0,0,0,1,0,0,0,0
